time,ram_limit,cpu_limit,n,lat99
1644263618,3840M,0.5,250,41304889
1644263706,3840M,0.5,250,41611589
1644263793,3840M,0.5,250,41207402
1644263882,3840M,0.5,250,41400104
1644263971,3840M,0.5,300,43573322
1644264068,3840M,0.5,300,43403735
1644264165,3840M,0.5,300,43415561
1644264263,3840M,0.5,350,46252210
1644264363,3840M,0.5,350,46050460
1644264463,3840M,0.5,350,46209247
1644264564,3840M,0.5,400,47818391
1644264665,3840M,0.5,400,47535008
1644264768,3840M,0.5,450,48289505
1644264871,3840M,0.5,450,48253645
1644264976,3840M,0.5,500,49023061
1644265081,3840M,0.5,500,48753895
1644265322,3712M,0.5,50,219617
1644265384,3712M,0.5,50,257652
1644265447,3712M,0.5,50,213499
1644265509,3712M,0.5,50,194556
1644265572,3712M,0.5,50,184636
1644265640,3712M,0.5,100,16108385
1644265709,3712M,0.5,100,16185014
1644265778,3712M,0.5,100,17361396
1644265846,3712M,0.5,100,15937274
1644265915,3712M,0.5,100,16576544
1644265985,3712M,0.5,150,30400920
1644266056,3712M,0.5,150,30548856
1644266126,3712M,0.5,150,30266379
1644266197,3712M,0.5,150,30566186
1644266268,3712M,0.5,150,30326961
1644266340,3712M,0.5,200,36817896
1644266418,3712M,0.5,200,36890461
1644266497,3712M,0.5,200,36893337
1644266576,3712M,0.5,200,36349576
1644266656,3712M,0.5,250,41458580
1644266743,3712M,0.5,250,41045639
1644266833,3712M,0.5,250,41727977
1644266920,3712M,0.5,250,41577842
1644267009,3712M,0.5,250,41375653
1644267098,3712M,0.5,300,43714107
1644267196,3712M,0.5,300,43555742
1644267293,3712M,0.5,300,43901407
1644267392,3712M,0.5,350,46346449
1644267493,3712M,0.5,400,47823613
1644267596,3712M,0.5,400,47871310
1644267697,3712M,0.5,400,47578979
1644267800,3712M,0.5,450,48438265
1644267903,3712M,0.5,450,48444293
1644268006,3712M,0.5,450,48321303
1644268109,3712M,0.5,450,48027315
1644268212,3712M,0.5,450,48327192
1644268318,3712M,0.5,500,48733288
1644268481,3584M,0.5,50,202765
1644268543,3584M,0.5,50,213522
1644268606,3584M,0.5,50,221574
1644268675,3584M,0.5,100,17565290
1644268743,3584M,0.5,100,17341265
1644268812,3584M,0.5,100,17356699
1644268880,3584M,0.5,100,17589084
1644268949,3584M,0.5,100,18139418
1644269019,3584M,0.5,150,30985253
1644269091,3584M,0.5,150,30653533
1644269162,3584M,0.5,150,30411984
1644269234,3584M,0.5,150,30755887
1644269304,3584M,0.5,150,31252580
1644269377,3584M,0.5,200,36908268
1644269456,3584M,0.5,200,36690086
1644269536,3584M,0.5,200,36972545
1644269615,3584M,0.5,200,36857324
1644269696,3584M,0.5,250,41791578
1644269783,3584M,0.5,250,41668187
1644269870,3584M,0.5,250,42095595
1644269957,3584M,0.5,250,41836572
1644270044,3584M,0.5,250,41637118
1644270133,3584M,0.5,300,44073381
1644270230,3584M,0.5,300,44382553
1644270330,3584M,0.5,350,46869615
1644270429,3584M,0.5,350,46703409
1644270530,3584M,0.5,400,47750872
1644270631,3584M,0.5,400,47929658
1644270733,3584M,0.5,400,47839630
1644270834,3584M,0.5,400,48170212
1644270936,3584M,0.5,400,47946295
1644271038,3584M,0.5,450,48760383
1644271141,3584M,0.5,450,48885551
1644271245,3584M,0.5,450,48476979
1644271348,3584M,0.5,450,48526934
1644271452,3584M,0.5,450,48509042
1644271557,3584M,0.5,500,48970475
1644271800,3456M,0.5,50,240718
1644271863,3456M,0.5,50,248807
1644271926,3456M,0.5,50,217199
1644271988,3456M,0.5,50,215501
1644272051,3456M,0.5,50,275130
1644272120,3456M,0.5,100,18116825
1644272188,3456M,0.5,100,18736920
1644272257,3456M,0.5,100,17754690
1644272327,3456M,0.5,100,17982882
1644272395,3456M,0.5,100,18102695
1644272465,3456M,0.5,150,30862641
1644272536,3456M,0.5,150,30985209
1644272608,3456M,0.5,150,30528916
1644272678,3456M,0.5,150,31191637
1644272750,3456M,0.5,150,31098174
1644272822,3456M,0.5,200,37081897
1644272902,3456M,0.5,200,36892605
1644272982,3456M,0.5,200,36959715
1644273062,3456M,0.5,200,37363229
1644273141,3456M,0.5,200,37326540
1644273223,3456M,0.5,250,41466765
1644273312,3456M,0.5,250,41668683
1644273399,3456M,0.5,250,41976566
1644273486,3456M,0.5,250,41794418
1644273576,3456M,0.5,250,41682670
1644273664,3456M,0.5,300,44055561
1644273761,3456M,0.5,300,44605090
1644273859,3456M,0.5,300,44629820
1644273956,3456M,0.5,300,44452646
1644274053,3456M,0.5,300,44756597
1644274152,3456M,0.5,350,46609782
1644274253,3456M,0.5,350,47013691
1644274352,3456M,0.5,350,46922915
1644274453,3456M,0.5,400,47693462
1644274556,3456M,0.5,400,47768438
1644274657,3456M,0.5,400,47988000
1644274758,3456M,0.5,400,47994273
1644274861,3456M,0.5,450,48932966
1644274964,3456M,0.5,450,48648387
1644275067,3456M,0.5,450,48505382
1644275170,3456M,0.5,450,48283002
1644275274,3456M,0.5,450,48622655
1644275379,3456M,0.5,500,49302922
1644275485,3456M,0.5,500,49539718
1644275590,3456M,0.5,500,49068742
1644275833,3328M,0.5,50,264073
1644275895,3328M,0.5,50,265047
1644275958,3328M,0.5,50,229187
1644276021,3328M,0.5,50,257155
1644276089,3328M,0.5,100,18237511
1644276158,3328M,0.5,100,18349234
1644276227,3328M,0.5,100,18012425
1644276295,3328M,0.5,100,17370298
1644276364,3328M,0.5,100,17375074
1644276434,3328M,0.5,150,30982687
1644276505,3328M,0.5,150,30903196
1644276576,3328M,0.5,150,30992304
1644276647,3328M,0.5,150,31089765
1644276718,3328M,0.5,150,31169576
1644276791,3328M,0.5,200,37167465
1644276871,3328M,0.5,200,36915552
1644276951,3328M,0.5,200,36928190
1644277031,3328M,0.5,200,37083423
1644277110,3328M,0.5,200,36967477
1644277192,3328M,0.5,250,41585926
1644277281,3328M,0.5,250,42046580
1644277367,3328M,0.5,250,41948637
1644277456,3328M,0.5,300,44163001
1644277553,3328M,0.5,300,44311999
1644277651,3328M,0.5,300,44048445
1644277750,3328M,0.5,350,46659961
1644277852,3328M,0.5,400,47703886
1644277953,3328M,0.5,400,47732918
1644278055,3328M,0.5,400,48016631
1644278158,3328M,0.5,450,48483384
1644278260,3328M,0.5,450,48723646
1644278363,3328M,0.5,450,48574875
1644278466,3328M,0.5,450,48473870
1644278570,3328M,0.5,450,48418715
1644278674,3328M,0.5,500,49180095
1644278918,3200M,0.5,50,228135
1644278981,3200M,0.5,50,270829
1644279044,3200M,0.5,50,262779
1644279106,3200M,0.5,50,266981
1644279175,3200M,0.5,100,18670643
1644279243,3200M,0.5,100,18731550
1644279312,3200M,0.5,100,18658353
1644279381,3200M,0.5,100,16671953
1644279449,3200M,0.5,100,16678397
1644279519,3200M,0.5,150,30265703
1644279590,3200M,0.5,150,30534221
1644279661,3200M,0.5,150,31174823
1644279732,3200M,0.5,150,30844235
1644279803,3200M,0.5,150,30779311
1644279875,3200M,0.5,200,37056428
1644279955,3200M,0.5,200,36609627
1644280035,3200M,0.5,200,36698572
1644280114,3200M,0.5,200,36956080
1644280195,3200M,0.5,250,41815875
1644280283,3200M,0.5,250,41664397
1644280372,3200M,0.5,250,42359420
1644280460,3200M,0.5,250,41769791
1644280549,3200M,0.5,300,44295075
1644280647,3200M,0.5,300,44430233
1644280745,3200M,0.5,300,44628983
1644280842,3200M,0.5,300,44734380
1644280940,3200M,0.5,300,44445301
1644281039,3200M,0.5,350,46988581
1644281138,3200M,0.5,350,46993822
1644281238,3200M,0.5,350,46724793
1644281339,3200M,0.5,400,47999687
1644281441,3200M,0.5,400,47880661
1644281542,3200M,0.5,400,47688008
1644281644,3200M,0.5,400,47994748
1644281747,3200M,0.5,450,48691305
1644281852,3200M,0.5,500,49040482
1644281957,3200M,0.5,500,49497955
1644282062,3200M,0.5,500,49267000
1644282307,3072M,0.5,50,263253
1644282370,3072M,0.5,50,202713
1644282432,3072M,0.5,50,295041
1644282495,3072M,0.5,50,262208
1644282558,3072M,0.5,50,210052
1644282627,3072M,0.5,100,18140883
1644282695,3072M,0.5,100,18596326
1644282764,3072M,0.5,100,17839721
1644282833,3072M,0.5,100,18233810
1644282902,3072M,0.5,100,17612372
1644282972,3072M,0.5,150,31024888
1644283043,3072M,0.5,150,31078120
1644283115,3072M,0.5,150,31241739
1644283186,3072M,0.5,150,30842236
1644283258,3072M,0.5,150,30707065
1644283330,3072M,0.5,200,37172389
1644283411,3072M,0.5,200,37176113
1644283492,3072M,0.5,200,37280591
1644283572,3072M,0.5,200,37428759
1644283652,3072M,0.5,200,36956515
1644283734,3072M,0.5,250,41766866
1644283823,3072M,0.5,250,41800218
1644283911,3072M,0.5,250,41937812
1644283999,3072M,0.5,250,41674911
1644284088,3072M,0.5,250,41825160
1644284177,3072M,0.5,300,44467549
1644284275,3072M,0.5,300,44229299
1644284372,3072M,0.5,300,44807860
1644284470,3072M,0.5,300,44038568
1644284567,3072M,0.5,300,44482592
1644284667,3072M,0.5,350,46866746
1644284766,3072M,0.5,350,46963339
1644284868,3072M,0.5,400,47945867
1644284970,3072M,0.5,400,48429625
1644285072,3072M,0.5,400,47860815
1644285175,3072M,0.5,450,48539548
1644285278,3072M,0.5,450,48237345
1644285382,3072M,0.5,450,48951285
1644285485,3072M,0.5,450,48506673
1644285589,3072M,0.5,450,48486128
1644285695,3072M,0.5,500,49223091
1644285799,3072M,0.5,500,49238932
1644285904,3072M,0.5,500,48955957
1644286146,2944M,0.5,50,201932
1644286209,2944M,0.5,50,206745
1644286271,2944M,0.5,50,267303
1644286334,2944M,0.5,50,226156
1644286403,2944M,0.5,100,18535229
1644286471,2944M,0.5,100,18162710
1644286540,2944M,0.5,100,18101251
1644286608,2944M,0.5,100,17358787
1644286677,2944M,0.5,100,17740866
1644286747,2944M,0.5,150,30608140
1644286818,2944M,0.5,150,30639369
1644286888,2944M,0.5,150,30838193
1644286959,2944M,0.5,150,30977591
1644287030,2944M,0.5,150,30940978
1644287103,2944M,0.5,200,37079191
1644287183,2944M,0.5,200,37100033
1644287262,2944M,0.5,200,37015412
1644287341,2944M,0.5,200,37653795
1644287420,2944M,0.5,200,37003316
1644287501,2944M,0.5,250,41338314
1644287589,2944M,0.5,250,41525505
1644287676,2944M,0.5,250,41864377
1644287763,2944M,0.5,250,42059574
1644287852,2944M,0.5,250,41736646
1644287940,2944M,0.5,300,43918391
1644288037,2944M,0.5,300,44250084
1644288134,2944M,0.5,300,44254407
1644288234,2944M,0.5,350,46660193
1644288333,2944M,0.5,350,46758451
1644288434,2944M,0.5,400,48008391
1644288535,2944M,0.5,400,47745563
1644288636,2944M,0.5,400,47874154
1644288738,2944M,0.5,400,47954738
1644288841,2944M,0.5,450,48284001
1644288944,2944M,0.5,450,48801410
1644289047,2944M,0.5,450,48174704
1644289150,2944M,0.5,450,48714411
1644289253,2944M,0.5,450,48622333
1644289358,2944M,0.5,500,48622159
1644289463,2944M,0.5,500,49361839
1644289568,2944M,0.5,500,48970347
1644289811,2816M,0.5,50,258554
1644289874,2816M,0.5,50,209588
1644289937,2816M,0.5,50,254872
1644289999,2816M,0.5,50,256527
1644290068,2816M,0.5,100,18181174
1644290137,2816M,0.5,100,18190304
1644290205,2816M,0.5,100,18168609
1644290274,2816M,0.5,100,17379841
1644290343,2816M,0.5,100,17715507
1644290412,2816M,0.5,150,30730774
1644290483,2816M,0.5,150,30972457
1644290554,2816M,0.5,150,30758054
1644290625,2816M,0.5,150,30760387
1644290696,2816M,0.5,150,30896570
1644290768,2816M,0.5,200,36988993
1644290848,2816M,0.5,200,37125645
1644290928,2816M,0.5,200,37092665
1644291007,2816M,0.5,200,37058193
1644291087,2816M,0.5,200,36900965
1644291168,2816M,0.5,250,41475908
1644291257,2816M,0.5,250,41898298
1644291344,2816M,0.5,250,41589273
1644291433,2816M,0.5,300,43800941
1644291530,2816M,0.5,300,44213001
1644291628,2816M,0.5,300,43885209
1644291725,2816M,0.5,300,44302352
1644291822,2816M,0.5,300,44223503
1644291921,2816M,0.5,350,46673933
1644292021,2816M,0.5,350,46612459
1644292122,2816M,0.5,400,47872803
1644292223,2816M,0.5,400,48028459
1644292325,2816M,0.5,400,47627102
1644292427,2816M,0.5,450,48825496
1644292531,2816M,0.5,450,48209563
1644292634,2816M,0.5,450,48369561
1644292737,2816M,0.5,450,48583344
1644292841,2816M,0.5,500,49367793
1644293010,2688M,0.5,50,251502
1644293073,2688M,0.5,50,267749
1644293136,2688M,0.5,50,260529
1644293198,2688M,0.5,50,269284
1644293261,2688M,0.5,50,273406
1644293330,2688M,0.5,100,18814961
1644293398,2688M,0.5,100,18809359
1644293467,2688M,0.5,100,18597448
1644293536,2688M,0.5,100,18715750
1644293604,2688M,0.5,100,18399627
1644293674,2688M,0.5,150,31330098
1644293747,2688M,0.5,150,30675634
1644293819,2688M,0.5,150,31191176
1644293890,2688M,0.5,150,31039290
1644293961,2688M,0.5,150,31224691
1644294034,2688M,0.5,200,37157814
1644294113,2688M,0.5,200,36979888
1644294194,2688M,0.5,200,36982828
1644294275,2688M,0.5,200,37213995
1644294354,2688M,0.5,200,37036726
1644294435,2688M,0.5,250,41810080
1644294523,2688M,0.5,250,41908833
1644294611,2688M,0.5,250,41760298
1644294697,2688M,0.5,250,41710872
1644294785,2688M,0.5,250,41609616
1644294874,2688M,0.5,300,44309093
1644294973,2688M,0.5,300,43986721
1644295071,2688M,0.5,300,44154440
1644295169,2688M,0.5,300,44034297
1644295266,2688M,0.5,300,44053786
1644295365,2688M,0.5,350,46662934
1644295467,2688M,0.5,400,48033438
1644295570,2688M,0.5,450,48734232
1644295673,2688M,0.5,450,48590506
1644295776,2688M,0.5,450,48344325
1644295881,2688M,0.5,500,49003161
1644296056,2560M,0.5,50,265666
1644296118,2560M,0.5,50,244708
1644296181,2560M,0.5,50,230217
1644296244,2560M,0.5,50,273819
1644296306,2560M,0.5,50,210561
1644296375,2560M,0.5,100,18105909
1644296444,2560M,0.5,100,18320229
1644296512,2560M,0.5,100,18441226
1644296581,2560M,0.5,100,18318219
1644296649,2560M,0.5,100,18368395
1644296719,2560M,0.5,150,30600494
1644296791,2560M,0.5,150,30695469
1644296862,2560M,0.5,150,31605945
1644296933,2560M,0.5,150,30667408
1644297004,2560M,0.5,150,30880353
1644297077,2560M,0.5,200,37193922
1644297157,2560M,0.5,200,37133113
1644297237,2560M,0.5,200,36915438
1644297317,2560M,0.5,200,37436027
1644297398,2560M,0.5,250,41624071
1644297485,2560M,0.5,250,42024543
1644297573,2560M,0.5,250,41670173
1644297660,2560M,0.5,250,41695505
1644297748,2560M,0.5,300,44398524
1644297845,2560M,0.5,300,44085171
1644297945,2560M,0.5,350,46684002
1644298046,2560M,0.5,400,47754767
1644298149,2560M,0.5,400,47878025
1644298249,2560M,0.5,400,47715460
1644298353,2560M,0.5,450,48392677
1644298456,2560M,0.5,450,48365677
1644298560,2560M,0.5,450,48516395
1644298665,2560M,0.5,500,48831518
1644298769,2560M,0.5,500,48993849
1644298933,2432M,0.5,50,225112
1644298995,2432M,0.5,50,272427
1644299058,2432M,0.5,50,214532
1644299121,2432M,0.5,50,224830
1644299183,2432M,0.5,50,258107
1644299252,2432M,0.5,100,18070364
1644299321,2432M,0.5,100,18294088
1644299389,2432M,0.5,100,18024482
1644299458,2432M,0.5,100,17965573
1644299526,2432M,0.5,100,17916905
1644299596,2432M,0.5,150,30688312
1644299668,2432M,0.5,150,30643531
1644299740,2432M,0.5,150,30932571
1644299811,2432M,0.5,150,30869515
1644299882,2432M,0.5,150,30970052
1644299955,2432M,0.5,200,36961963
1644300034,2432M,0.5,200,36429130
1644300114,2432M,0.5,200,36887305
1644300194,2432M,0.5,200,37054050
1644300274,2432M,0.5,200,37088533
1644300355,2432M,0.5,250,41347685
1644300442,2432M,0.5,250,41234182
1644300531,2432M,0.5,250,41433361
1644300619,2432M,0.5,300,43790574
1644300718,2432M,0.5,350,46634497
1644300817,2432M,0.5,350,46556935
1644300917,2432M,0.5,350,46712749
1644301018,2432M,0.5,400,48081638
1644301120,2432M,0.5,400,47877430
1644301223,2432M,0.5,450,48300635
1644301328,2432M,0.5,500,48831028
1644301434,2432M,0.5,500,48895540
1644301688,2304M,0.5,50,192624
1644301750,2304M,0.5,50,249634
1644301813,2304M,0.5,50,260123
1644301876,2304M,0.5,50,214361
1644301938,2304M,0.5,50,248950
1644302007,2304M,0.5,100,18417157
1644302076,2304M,0.5,100,18838013
1644302144,2304M,0.5,100,17613233
1644302214,2304M,0.5,100,18128864
1644302282,2304M,0.5,100,18348238
1644302352,2304M,0.5,150,30952562
1644302423,2304M,0.5,150,30885537
1644302495,2304M,0.5,150,30798232
1644302566,2304M,0.5,150,30881830
1644302637,2304M,0.5,150,31276605
1644302710,2304M,0.5,200,37761422
1644302791,2304M,0.5,200,37026738
1644302871,2304M,0.5,200,37621816
1644302951,2304M,0.5,200,37252538
1644303033,2304M,0.5,250,41673815
1644303122,2304M,0.5,250,41848738
1644303210,2304M,0.5,250,41703549
1644303299,2304M,0.5,300,44630425
1644303397,2304M,0.5,300,44282504
1644303496,2304M,0.5,350,47023804
1644303597,2304M,0.5,350,46824106
1644303698,2304M,0.5,400,48248036
1644303800,2304M,0.5,400,47904701
1644303905,2304M,0.5,450,48779053
1644304008,2304M,0.5,450,48547129
1644304112,2304M,0.5,450,48157176
1644304217,2304M,0.5,500,49106317
1644304322,2304M,0.5,500,48695476
1644304566,2176M,0.5,50,211821
1644304629,2176M,0.5,50,251622
1644304691,2176M,0.5,50,270448
1644304754,2176M,0.5,50,256038
1644304817,2176M,0.5,50,214501
1644304886,2176M,0.5,100,18519325
1644304954,2176M,0.5,100,18480072
1644305023,2176M,0.5,100,17784027
1644305091,2176M,0.5,100,17501953
1644305160,2176M,0.5,100,17895266
1644305230,2176M,0.5,150,31138754
1644305302,2176M,0.5,150,31057265
1644305373,2176M,0.5,150,30859202
1644305444,2176M,0.5,150,30728210
1644305515,2176M,0.5,150,30843408
1644305588,2176M,0.5,200,37522373
1644305668,2176M,0.5,200,37053754
1644305748,2176M,0.5,200,37075482
1644305828,2176M,0.5,200,37451979
1644305908,2176M,0.5,200,37102910
1644305990,2176M,0.5,250,41519184
1644306079,2176M,0.5,250,41630117
1644306166,2176M,0.5,250,41942061
1644306256,2176M,0.5,250,41575554
1644306343,2176M,0.5,250,41584543
1644306432,2176M,0.5,300,44195986
1644306530,2176M,0.5,300,44698250
1644306627,2176M,0.5,300,44481906
1644306727,2176M,0.5,350,46474592
1644306827,2176M,0.5,350,46700854
1644306928,2176M,0.5,400,48001051
1644307032,2176M,0.5,450,48323950
1644307135,2176M,0.5,450,48685138
1644307239,2176M,0.5,450,48611612
1644307343,2176M,0.5,450,48795783
1644307448,2176M,0.5,500,48544130
1644307553,2176M,0.5,500,49178578
1644307727,2048M,0.5,50,263301
1644307790,2048M,0.5,50,274009
1644307852,2048M,0.5,50,224285
1644307915,2048M,0.5,50,207945
1644307977,2048M,0.5,50,200360
1644308046,2048M,0.5,100,17835350
1644308115,2048M,0.5,100,17966991
1644308183,2048M,0.5,100,18239747
1644308252,2048M,0.5,100,18061986
1644308321,2048M,0.5,100,18298841
1644308391,2048M,0.5,150,30695008
1644308462,2048M,0.5,150,30517516
1644308534,2048M,0.5,150,31036919
1644308605,2048M,0.5,150,30620990
1644308676,2048M,0.5,150,31004097
1644308748,2048M,0.5,200,37041685
1644308828,2048M,0.5,200,37173190
1644308908,2048M,0.5,200,37177210
1644308988,2048M,0.5,200,37080769
1644309067,2048M,0.5,200,37404076
1644309148,2048M,0.5,250,41488258
1644309236,2048M,0.5,250,41530204
1644309324,2048M,0.5,250,41693281
1644309413,2048M,0.5,300,44330830
1644309510,2048M,0.5,300,44295561
1644309608,2048M,0.5,300,44115756
1644309706,2048M,0.5,300,44234181
1644309805,2048M,0.5,350,46819015
1644309906,2048M,0.5,400,47865968
1644310009,2048M,0.5,450,48453960
1644310112,2048M,0.5,450,48596137
1644310216,2048M,0.5,450,48451105
1644310318,2048M,0.5,450,48426480
1644310422,2048M,0.5,450,48223504
1644310528,2048M,0.5,500,48885080
1644310632,2048M,0.5,500,48991783
1644310886,1920M,0.5,50,215404
1644310949,1920M,0.5,50,219536
1644311012,1920M,0.5,50,261793
1644311074,1920M,0.5,50,243157
1644311143,1920M,0.5,100,18083705
1644311212,1920M,0.5,100,18560247
1644311280,1920M,0.5,100,17538354
1644311349,1920M,0.5,100,17174483
1644311418,1920M,0.5,100,17766868
1644311488,1920M,0.5,150,30893720
1644311559,1920M,0.5,150,30985103
1644311630,1920M,0.5,150,30973101
1644311701,1920M,0.5,150,30920568
1644311772,1920M,0.5,150,30770436
1644311844,1920M,0.5,200,37064912
1644311924,1920M,0.5,200,36837491
1644312005,1920M,0.5,200,37051334
1644312084,1920M,0.5,200,37129541
1644312164,1920M,0.5,200,37185670
1644312246,1920M,0.5,250,41957979
1644312334,1920M,0.5,250,41787798
1644312422,1920M,0.5,250,41668709
1644312509,1920M,0.5,250,41499805
1644312599,1920M,0.5,300,44289338
1644312698,1920M,0.5,300,43857287
1644312795,1920M,0.5,300,44514246
1644312893,1920M,0.5,300,44155677
1644312992,1920M,0.5,350,46855198
1644313093,1920M,0.5,350,46806303
1644313192,1920M,0.5,350,46489542
1644313294,1920M,0.5,400,47800688
1644313397,1920M,0.5,450,48625895
1644313502,1920M,0.5,500,49231280
1644313606,1920M,0.5,500,49228559
1644313854,1792M,0.5,50,262093
1644313917,1792M,0.5,50,262955
1644313980,1792M,0.5,50,244006
1644314042,1792M,0.5,50,228594
1644314105,1792M,0.5,50,217256
1644314174,1792M,0.5,100,18028983
1644314242,1792M,0.5,100,18396273
1644314311,1792M,0.5,100,16794304
1644314380,1792M,0.5,100,16584778
1644314448,1792M,0.5,100,17176570
1644314518,1792M,0.5,150,30782299
1644314589,1792M,0.5,150,30867204
1644314660,1792M,0.5,150,30655488
1644314731,1792M,0.5,150,30840289
1644314802,1792M,0.5,150,30708163
