time,ram_limit,cpu_limit,ram_usage,cpu_usage,n,lat95
1644258425,3968M,0.5,241856512.0,0.399158,50,174686
1644258487,3968M,0.5,245903360.0,0.459687,50,213280
1644258550,3968M,0.5,245903360.0,0.459433,50,175187
1644258613,3968M,0.5,253788160.0,0.424865,50,189775
1644258681,3968M,0.5,454254592.0,0.419814,100,16814111
1644258750,3968M,0.5,465854464.0,0.419783,100,16804068
1644258819,3968M,0.5,465854464.0,0.437926,100,17105865
1644258887,3968M,0.5,449150976.0,0.435972,100,16365044
1644258957,3968M,0.5,462540800.0,0.463927,100,16084167
1644259027,3968M,0.5,560189440.0,0.453837,150,30332724
1644259097,3968M,0.5,560189440.0,0.46426,150,30161641
1644259167,3968M,0.5,591712256.0,0.47683,150,30046058
1644259238,3968M,0.5,570662912.0,0.488022,150,30069797
1644259308,3968M,0.5,547819520.0,0.498041,150,30150437
1644259380,3968M,0.5,631312384.0,0.498134,200,36675194
1644259459,3968M,0.5,631312384.0,0.497974,200,36584690
1644259538,3968M,0.5,702484480.0,0.498433,200,36588539
1644259616,3968M,0.5,703172608.0,0.498242,200,36675784
1644259695,3968M,0.5,703172608.0,0.498052,200,36769893
1644259775,3968M,0.5,684109824.0,0.498274,250,41239206
1644259863,3968M,0.5,731115520.0,0.497997,250,41377685
1644259950,3968M,0.5,731115520.0,0.497745,250,41152596
1644260038,3968M,0.5,731734016.0,0.49782,250,41357749
1644260126,3968M,0.5,805822464.0,0.497846,250,41323518
1644260215,3968M,0.5,844906496.0,0.498004,300,43247846
1644260312,3968M,0.5,844906496.0,0.497824,300,43180875
1644260409,3968M,0.5,846692352.0,0.497851,300,43527966
1644260505,3968M,0.5,846692352.0,0.497903,300,43288024
1644260602,3968M,0.5,840130560.0,0.498152,300,43654318
1644260700,3968M,0.5,904724480.0,0.498303,350,45994898
1644260802,3968M,0.5,809771008.0,0.498406,400,47773091
1644260904,3968M,0.5,894136320.0,0.497989,400,47535831
1644261005,3968M,0.5,1135255552.0,0.49794,400,47700805
1644261106,3968M,0.5,1071206400.0,0.497561,400,47508033
1644261207,3968M,0.5,1057832960.0,0.497835,400,47738093
1644261310,3968M,0.5,926167040.0,0.49795,450,48498928
1644261414,3968M,0.5,1217204224.0,0.497708,450,48461545
1644261517,3968M,0.5,1132306432.0,0.497468,450,48233110
1644261619,3968M,0.5,1059233792.0,0.497537,450,48210417
1644261722,3968M,0.5,1205772288.0,0.497372,450,48245945
1644261827,3968M,0.5,1028317184.0,0.496444,500,48697219
1644261931,3968M,0.5,1261928448.0,0.497464,500,48698536
1644262182,3840M,0.5,647843840.0,0.304458,50,192213
1644262244,3840M,0.5,249581568.0,0.433587,50,192362
1644262307,3840M,0.5,255324160.0,0.477339,50,184151
1644262370,3840M,0.5,256135168.0,0.459459,50,185090
1644262438,3840M,0.5,493625344.0,0.442299,100,16988460
1644262507,3840M,0.5,451723264.0,0.414109,100,16491230
1644262575,3840M,0.5,490053632.0,0.441797,100,16665576
1644262644,3840M,0.5,420929536.0,0.448193,100,15812205
1644262713,3840M,0.5,450662400.0,0.463759,100,16323284
1644262782,3840M,0.5,552321024.0,0.454702,150,29631192
1644262853,3840M,0.5,552321024.0,0.467692,150,30081388
1644262924,3840M,0.5,626110464.0,0.476052,150,29332963
1644262994,3840M,0.5,626110464.0,0.487581,150,29626492
1644263064,3840M,0.5,565493760.0,0.498627,150,30245866
1644263136,3840M,0.5,619151360.0,0.498331,200,36574723
1644263214,3840M,0.5,697626624.0,0.498506,200,36648963
1644263293,3840M,0.5,697626624.0,0.498402,200,36442363
1644263372,3840M,0.5,664846336.0,0.498183,200,36714784
1644263450,3840M,0.5,664846336.0,0.498085,200,36387500
1644263529,3840M,0.5,696664064.0,0.498012,250,41194395
1644263618,3840M,0.5,723664896.0,0.498139,250,41135522
1644263706,3840M,0.5,736047104.0,0.497864,250,41511881
1644263793,3840M,0.5,736047104.0,0.498494,250,41016702
1644263882,3840M,0.5,723312640.0,0.498035,250,41272079
1644263971,3840M,0.5,839413760.0,0.498167,300,43453735
1644264068,3840M,0.5,852119552.0,0.497751,300,43225349
1644264165,3840M,0.5,852119552.0,0.498141,300,43157132
1644264263,3840M,0.5,851644416.0,0.498299,350,46047548
1644264363,3840M,0.5,1022361600.0,0.497901,350,45927036
1644264463,3840M,0.5,910430208.0,0.497893,350,46081134
1644264564,3840M,0.5,1053118464.0,0.49777,400,47649052
1644264665,3840M,0.5,1016487936.0,0.498007,400,47463565
1644264768,3840M,0.5,898129920.0,0.497908,450,48184679
1644264871,3840M,0.5,1134501888.0,0.497849,450,48149522
1644264976,3840M,0.5,950276096.0,0.49754,500,48755362
1644265081,3840M,0.5,1308717056.0,0.497713,500,48442465
1644265322,3712M,0.5,621596672.0,0.319311,50,197855
1644265384,3712M,0.5,247447552.0,0.401493,50,212122
1644265447,3712M,0.5,251031552.0,0.451285,50,189837
1644265509,3712M,0.5,252334080.0,0.461762,50,173781
1644265572,3712M,0.5,257646592.0,0.439592,50,170137
1644265640,3712M,0.5,484720640.0,0.419122,100,15984442
1644265709,3712M,0.5,466755584.0,0.427784,100,16082088
1644265778,3712M,0.5,444608512.0,0.435809,100,17296780
1644265846,3712M,0.5,455360512.0,0.443752,100,15831888
1644265915,3712M,0.5,434339840.0,0.462576,100,16462009
1644265985,3712M,0.5,657756160.0,0.456916,150,30286959
1644266056,3712M,0.5,657756160.0,0.465863,150,30434771
1644266126,3712M,0.5,501825536.0,0.477447,150,30132801
1644266197,3712M,0.5,557690880.0,0.488004,150,30448636
1644266268,3712M,0.5,559067136.0,0.4981,150,30225830
1644266340,3712M,0.5,673247232.0,0.49811,200,36616066
1644266418,3712M,0.5,673247232.0,0.498164,200,36747696
1644266497,3712M,0.5,600854528.0,0.49801,200,36646692
1644266576,3712M,0.5,675491840.0,0.498133,200,36131091
1644266656,3712M,0.5,675491840.0,0.49813,250,41301657
1644266743,3712M,0.5,674889728.0,0.497987,250,40888744
1644266833,3712M,0.5,725975040.0,0.49812,250,41518473
1644266920,3712M,0.5,743350272.0,0.498076,250,41420971
1644267009,3712M,0.5,699633664.0,0.498115,250,41194590
1644267098,3712M,0.5,834195456.0,0.498172,300,43485659
1644267196,3712M,0.5,905875456.0,0.497932,300,43307777
1644267293,3712M,0.5,895741952.0,0.498231,300,43696419
1644267392,3712M,0.5,877522944.0,0.497797,350,46222895
1644267493,3712M,0.5,799391744.0,0.498044,400,47588455
1644267596,3712M,0.5,1145192448.0,0.497883,400,47734748
1644267697,3712M,0.5,980549632.0,0.49777,400,47413157
1644267800,3712M,0.5,903929856.0,0.497709,450,48346431
1644267903,3712M,0.5,1117290496.0,0.497368,450,48299589
1644268006,3712M,0.5,941604864.0,0.496367,450,48135032
1644268109,3712M,0.5,1147043840.0,0.497536,450,47896826
1644268212,3712M,0.5,1069580288.0,0.497439,450,48124037
1644268318,3712M,0.5,1148870656.0,0.496669,500,48592369
1644268481,3584M,0.5,632750080.0,0.223876,50,191693
1644268543,3584M,0.5,243945472.0,0.305623,50,193705
1644268606,3584M,0.5,279195648.0,0.349058,50,197427
1644268675,3584M,0.5,459902976.0,0.441889,100,17387753
1644268743,3584M,0.5,459902976.0,0.441165,100,17211627
1644268812,3584M,0.5,472387584.0,0.436044,100,17247737
1644268880,3584M,0.5,472387584.0,0.44535,100,17500668
1644268949,3584M,0.5,468733952.0,0.459246,100,18036559
1644269019,3584M,0.5,527970304.0,0.462781,150,30885779
1644269091,3584M,0.5,527970304.0,0.467676,150,30522038
1644269162,3584M,0.5,533155840.0,0.476177,150,30323708
1644269234,3584M,0.5,533155840.0,0.488535,150,30669966
1644269304,3584M,0.5,521986048.0,0.498238,150,31161312
1644269377,3584M,0.5,590655488.0,0.498392,200,36765195
1644269456,3584M,0.5,633913344.0,0.497889,200,36564378
1644269536,3584M,0.5,633913344.0,0.497847,200,36753647
1644269615,3584M,0.5,627838976.0,0.497841,200,36699113
1644269696,3584M,0.5,728371200.0,0.498317,250,41607531
1644269783,3584M,0.5,728371200.0,0.498126,250,41486491
1644269870,3584M,0.5,695357440.0,0.498077,250,41812972
1644269957,3584M,0.5,721891328.0,0.498068,250,41714341
1644270044,3584M,0.5,729976832.0,0.498072,250,41527031
1644270133,3584M,0.5,756039680.0,0.497893,300,43967427
1644270230,3584M,0.5,756039680.0,0.498115,300,44156715
1644270330,3584M,0.5,918577152.0,0.498075,350,46681589
1644270429,3584M,0.5,918577152.0,0.497742,350,46524317
1644270530,3584M,0.5,1074204672.0,0.497984,400,47586152
1644270631,3584M,0.5,1091575808.0,0.497643,400,47799334
1644270733,3584M,0.5,1035456512.0,0.497493,400,47687868
1644270834,3584M,0.5,1050693632.0,0.497689,400,47945596
1644270936,3584M,0.5,1029959680.0,0.49748,400,47825586
1644271038,3584M,0.5,1142796288.0,0.497704,450,48676096
1644271141,3584M,0.5,1147908096.0,0.497673,450,48771525
1644271245,3584M,0.5,950386688.0,0.496896,450,48333075
1644271348,3584M,0.5,1282809856.0,0.497496,450,48421470
1644271452,3584M,0.5,925118464.0,0.497418,450,48418458
1644271557,3584M,0.5,1229172736.0,0.497331,500,48725959
1644271800,3456M,0.5,682516480.0,0.326551,50,197207
1644271863,3456M,0.5,250458112.0,0.408654,50,214721
1644271926,3456M,0.5,250355712.0,0.458976,50,197098
1644271988,3456M,0.5,249819136.0,0.443502,50,194828
1644272051,3456M,0.5,249819136.0,0.425309,50,259204
1644272120,3456M,0.5,452542464.0,0.418835,100,18020462
1644272188,3456M,0.5,405225472.0,0.430321,100,18612176
1644272257,3456M,0.5,467656704.0,0.439148,100,17537826
1644272327,3456M,0.5,467656704.0,0.446822,100,17885726
1644272395,3456M,0.5,484823040.0,0.466176,100,17895007
1644272465,3456M,0.5,543440896.0,0.461438,150,30718612
1644272536,3456M,0.5,543440896.0,0.468161,150,30856238
1644272608,3456M,0.5,538357760.0,0.478855,150,30416978
1644272678,3456M,0.5,540463104.0,0.486626,150,30971558
1644272750,3456M,0.5,540463104.0,0.498212,150,30937359
1644272822,3456M,0.5,667365376.0,0.498402,200,36923999
1644272902,3456M,0.5,667365376.0,0.497964,200,36753141
1644272982,3456M,0.5,584355840.0,0.497915,200,36775066
1644273062,3456M,0.5,659202048.0,0.498021,200,37161951
1644273141,3456M,0.5,659202048.0,0.498072,200,37155015
1644273223,3456M,0.5,725819392.0,0.49826,250,41374557
1644273312,3456M,0.5,725819392.0,0.498104,250,41532973
1644273399,3456M,0.5,691974144.0,0.497998,250,41732305
1644273486,3456M,0.5,730263552.0,0.498518,250,41592407
1644273576,3456M,0.5,730263552.0,0.497889,250,41551922
1644273664,3456M,0.5,820895744.0,0.498044,300,43964617
1644273761,3456M,0.5,820895744.0,0.497968,300,44383951
1644273859,3456M,0.5,777531392.0,0.497964,300,44375833
1644273956,3456M,0.5,841814016.0,0.49821,300,44285226
1644274053,3456M,0.5,789622784.0,0.498497,300,44542147
1644274152,3456M,0.5,889552896.0,0.497635,350,46466671
1644274253,3456M,0.5,889552896.0,0.498117,350,46815181
1644274352,3456M,0.5,1076617216.0,0.498025,350,46722750
1644274453,3456M,0.5,915816448.0,0.497501,400,47356102
1644274556,3456M,0.5,1132896256.0,0.497981,400,47658184
1644274657,3456M,0.5,851447808.0,0.497507,400,47819193
1644274758,3456M,0.5,1021300736.0,0.497479,400,47742129
1644274861,3456M,0.5,1009971200.0,0.496829,450,48782328
1644274964,3456M,0.5,977793024.0,0.497456,450,48484745
1644275067,3456M,0.5,1229475840.0,0.497377,450,48322342
1644275170,3456M,0.5,999727104.0,0.497446,450,48105556
1644275274,3456M,0.5,1133281280.0,0.497667,450,48495920
1644275379,3456M,0.5,1133281280.0,0.497677,500,49076967
1644275485,3456M,0.5,1255608320.0,0.497477,500,49012168
1644275590,3456M,0.5,1032806400.0,0.497436,500,48832851
1644275833,3328M,0.5,659664896.0,0.354503,50,239322
1644275895,3328M,0.5,250753024.0,0.437184,50,218500
1644275958,3328M,0.5,255561728.0,0.471279,50,206698
1644276021,3328M,0.5,283619328.0,0.458385,50,219739
1644276089,3328M,0.5,447938560.0,0.438922,100,18125877
1644276158,3328M,0.5,461516800.0,0.42756,100,18214628
1644276227,3328M,0.5,461516800.0,0.439317,100,17929676
1644276295,3328M,0.5,451403776.0,0.448675,100,17215702
1644276364,3328M,0.5,463339520.0,0.458529,100,17301405
1644276434,3328M,0.5,523759616.0,0.459742,150,30841452
1644276505,3328M,0.5,561905664.0,0.469199,150,30779954
1644276576,3328M,0.5,561905664.0,0.479462,150,30883252
1644276647,3328M,0.5,531435520.0,0.488519,150,30872815
1644276718,3328M,0.5,539471872.0,0.497756,150,31021138
1644276791,3328M,0.5,615575552.0,0.497668,200,36993804
1644276871,3328M,0.5,657399808.0,0.497806,200,36779142
1644276951,3328M,0.5,657399808.0,0.497831,200,36803653
1644277031,3328M,0.5,673366016.0,0.498033,200,36971222
1644277110,3328M,0.5,630833152.0,0.498033,200,36838131
1644277192,3328M,0.5,614944768.0,0.498222,250,41448978
1644277281,3328M,0.5,710168576.0,0.498123,250,41680955
1644277367,3328M,0.5,707039232.0,0.498192,250,41679645
1644277456,3328M,0.5,707039232.0,0.497925,300,44026534
1644277553,3328M,0.5,702390272.0,0.498055,300,44184093
1644277651,3328M,0.5,922238976.0,0.498192,300,43977938
1644277750,3328M,0.5,850464768.0,0.497885,350,46498065
1644277852,3328M,0.5,823652352.0,0.497747,400,47546641
1644277953,3328M,0.5,1100742656.0,0.497374,400,47641649
1644278055,3328M,0.5,1066872832.0,0.497513,400,47794324
1644278158,3328M,0.5,1135427584.0,0.497268,450,48393651
1644278260,3328M,0.5,1093603328.0,0.497255,450,48578080
1644278363,3328M,0.5,1105494016.0,0.497631,450,48410944
1644278466,3328M,0.5,1108152320.0,0.497651,450,48375750
1644278570,3328M,0.5,955691008.0,0.497296,450,48191276
1644278674,3328M,0.5,1100582912.0,0.498231,500,49010511
1644278918,3200M,0.5,666361856.0,0.313607,50,193285
1644278981,3200M,0.5,249008128.0,0.445809,50,240085
1644279044,3200M,0.5,249008128.0,0.477308,50,224485
1644279106,3200M,0.5,257347584.0,0.460035,50,247453
1644279175,3200M,0.5,464912384.0,0.434018,100,18468079
1644279243,3200M,0.5,463745024.0,0.432529,100,18614502
1644279312,3200M,0.5,463745024.0,0.443165,100,18535557
1644279381,3200M,0.5,429731840.0,0.453217,100,16544954
1644279449,3200M,0.5,514633728.0,0.456534,100,16542636
1644279519,3200M,0.5,551944192.0,0.464537,150,30165911
1644279590,3200M,0.5,551944192.0,0.468875,150,30398856
1644279661,3200M,0.5,563679232.0,0.473827,150,30997634
1644279732,3200M,0.5,563679232.0,0.488594,150,30640709
1644279803,3200M,0.5,539955200.0,0.498143,150,30639351
1644279875,3200M,0.5,633585664.0,0.498058,200,36900619
1644279955,3200M,0.5,757207040.0,0.498126,200,36466827
1644280035,3200M,0.5,757207040.0,0.498212,200,36607858
1644280114,3200M,0.5,672600064.0,0.498159,200,36850292
1644280195,3200M,0.5,693555200.0,0.498101,250,41589439
1644280283,3200M,0.5,693555200.0,0.4978,250,41531339
1644280372,3200M,0.5,681185280.0,0.49782,250,41914855
1644280460,3200M,0.5,807092224.0,0.497731,250,41593740
1644280549,3200M,0.5,765988864.0,0.497735,300,44164954
1644280647,3200M,0.5,866832384.0,0.498189,300,44256522
1644280745,3200M,0.5,833957888.0,0.497647,300,44518968
1644280842,3200M,0.5,809713664.0,0.498335,300,44536915
1644280940,3200M,0.5,646066176.0,0.497738,300,44139547
1644281039,3200M,0.5,922161152.0,0.497764,350,46768475
1644281138,3200M,0.5,922161152.0,0.497993,350,46689897
1644281238,3200M,0.5,822595584.0,0.49746,350,46632432
1644281339,3200M,0.5,1088307200.0,0.498017,400,47874827
1644281441,3200M,0.5,989581312.0,0.497983,400,47748416
1644281542,3200M,0.5,1053499392.0,0.497556,400,47591593
1644281644,3200M,0.5,1056120832.0,0.497454,400,47894394
1644281747,3200M,0.5,905588736.0,0.496681,450,48417658
1644281852,3200M,0.5,1127575552.0,0.497503,500,48938363
1644281957,3200M,0.5,1008861184.0,0.497171,500,49104720
1644282062,3200M,0.5,1273331712.0,0.497335,500,49148167
1644282307,3072M,0.5,661561344.0,0.316658,50,234511
1644282370,3072M,0.5,248971264.0,0.448445,50,182599
1644282432,3072M,0.5,251125760.0,0.458509,50,272442
1644282495,3072M,0.5,251125760.0,0.458509,50,236501
1644282558,3072M,0.5,254824448.0,0.436347,50,194703
1644282627,3072M,0.5,465068032.0,0.420824,100,17969534
1644282695,3072M,0.5,465068032.0,0.430349,100,18472054
1644282764,3072M,0.5,444919808.0,0.43745,100,17729401
1644282833,3072M,0.5,453038080.0,0.448118,100,18150656
1644282902,3072M,0.5,454373376.0,0.462495,100,17515305
1644282972,3072M,0.5,550084608.0,0.4593,150,30923887
1644283043,3072M,0.5,550084608.0,0.469759,150,30973995
1644283115,3072M,0.5,529420288.0,0.477883,150,31066105
1644283186,3072M,0.5,529420288.0,0.488022,150,30708163
1644283258,3072M,0.5,548577280.0,0.498148,150,30633908
1644283330,3072M,0.5,599539712.0,0.497814,200,36945454
1644283411,3072M,0.5,674988032.0,0.498183,200,37077049
1644283492,3072M,0.5,674988032.0,0.497872,200,37167945
1644283572,3072M,0.5,676532224.0,0.49778,200,37191429
1644283652,3072M,0.5,618831872.0,0.4981,200,36832292
1644283734,3072M,0.5,784814080.0,0.498189,250,41562739
1644283823,3072M,0.5,784814080.0,0.497904,250,41674550
1644283911,3072M,0.5,760676352.0,0.49793,250,41687330
1644283999,3072M,0.5,728174592.0,0.497896,250,41577707
1644284088,3072M,0.5,755212288.0,0.498023,250,41504977
1644284177,3072M,0.5,708943872.0,0.498023,300,44324792
1644284275,3072M,0.5,883765248.0,0.497816,300,44052748
1644284372,3072M,0.5,804888576.0,0.497839,300,44641946
1644284470,3072M,0.5,791089152.0,0.497535,300,43941598
1644284567,3072M,0.5,789065728.0,0.497776,300,44300921
1644284667,3072M,0.5,901038080.0,0.497776,350,46663843
1644284766,3072M,0.5,901038080.0,0.498068,350,46707476
1644284868,3072M,0.5,1101127680.0,0.497826,400,47796807
1644284970,3072M,0.5,1038684160.0,0.497889,400,48254257
1644285072,3072M,0.5,977780736.0,0.497977,400,47682664
1644285175,3072M,0.5,1159380992.0,0.498009,450,48163444
1644285278,3072M,0.5,933232640.0,0.496777,450,48082708
1644285382,3072M,0.5,1210474496.0,0.497167,450,48728088
1644285485,3072M,0.5,1081180160.0,0.497326,450,48320560
1644285589,3072M,0.5,908107776.0,0.496496,450,48311646
1644285695,3072M,0.5,1251954688.0,0.497034,500,48825976
1644285799,3072M,0.5,1008390144.0,0.497547,500,48831714
1644285904,3072M,0.5,1234526208.0,0.497496,500,48763339
1644286146,2944M,0.5,690462720.0,0.313857,50,186009
1644286209,2944M,0.5,245145600.0,0.394419,50,178980
1644286271,2944M,0.5,245293056.0,0.460781,50,237026
1644286334,2944M,0.5,251166720.0,0.460175,50,198884
1644286403,2944M,0.5,458141696.0,0.441768,100,18410303
1644286471,2944M,0.5,453382144.0,0.431822,100,18066429
1644286540,2944M,0.5,468938752.0,0.437857,100,18016193
1644286608,2944M,0.5,468938752.0,0.447491,100,17204349
1644286677,2944M,0.5,479178752.0,0.466513,100,17550970
1644286747,2944M,0.5,623828992.0,0.459658,150,30462727
1644286818,2944M,0.5,623828992.0,0.469768,150,30529257
1644286888,2944M,0.5,571863040.0,0.477093,150,30677989
1644286959,2944M,0.5,571863040.0,0.48821,150,30879009
1644287030,2944M,0.5,558768128.0,0.490429,150,30792048
1644287103,2944M,0.5,680087552.0,0.498243,200,36894112
1644287183,2944M,0.5,680087552.0,0.498231,200,36779771
1644287262,2944M,0.5,686698496.0,0.498306,200,36913797
1644287341,2944M,0.5,627458048.0,0.498146,200,37213702
1644287420,2944M,0.5,627458048.0,0.497989,200,36867580
1644287501,2944M,0.5,697085952.0,0.497984,250,41174248
1644287589,2944M,0.5,728330240.0,0.498027,250,41423904
1644287676,2944M,0.5,722681856.0,0.498,250,41522963
1644287763,2944M,0.5,719327232.0,0.497879,250,41813399
1644287852,2944M,0.5,724332544.0,0.49788,250,41598892
1644287940,2944M,0.5,832782336.0,0.497935,300,43692176
1644288037,2944M,0.5,832782336.0,0.498044,300,43925298
1644288134,2944M,0.5,826224640.0,0.498034,300,44066498
1644288234,2944M,0.5,828039168.0,0.498131,350,46498390
1644288333,2944M,0.5,1050763264.0,0.497895,350,46573766
1644288434,2944M,0.5,948056064.0,0.497327,400,47816802
1644288535,2944M,0.5,1109303296.0,0.49782,400,47574632
1644288636,2944M,0.5,1049137152.0,0.497693,400,47721874
1644288738,2944M,0.5,836718592.0,0.497721,400,47810959
1644288841,2944M,0.5,1137033216.0,0.497913,450,48167533
1644288944,2944M,0.5,1082499072.0,0.497876,450,48425969
1644289047,2944M,0.5,1038446592.0,0.497712,450,48047774
1644289150,2944M,0.5,1027645440.0,0.497547,450,48628029
1644289253,2944M,0.5,1223102464.0,0.497281,450,48353169
1644289358,2944M,0.5,1034420224.0,0.497509,500,48500689
1644289463,2944M,0.5,1112047616.0,0.49726,500,48979373
1644289568,2944M,0.5,1212809216.0,0.496925,500,48856303
1644289811,2816M,0.5,666763264.0,0.356886,50,223386
1644289874,2816M,0.5,259788800.0,0.43805,50,194733
1644289937,2816M,0.5,257396736.0,0.462478,50,225891
1644289999,2816M,0.5,256847872.0,0.462478,50,223442
1644290068,2816M,0.5,444596224.0,0.427476,100,18056012
1644290137,2816M,0.5,431837184.0,0.427508,100,18102220
1644290205,2816M,0.5,456740864.0,0.439275,100,18065409
1644290274,2816M,0.5,460664832.0,0.445518,100,17283011
1644290343,2816M,0.5,460664832.0,0.456081,100,17610260
1644290412,2816M,0.5,552751104.0,0.459139,150,30654222
1644290483,2816M,0.5,552751104.0,0.467863,150,30842640
1644290554,2816M,0.5,535584768.0,0.481072,150,30598775
1644290625,2816M,0.5,537919488.0,0.489266,150,30593414
1644290696,2816M,0.5,571793408.0,0.49811,150,30792709
1644290768,2816M,0.5,640708608.0,0.468864,200,36840105
1644290848,2816M,0.5,672784384.0,0.497968,200,36928740
1644290928,2816M,0.5,672784384.0,0.497877,200,36974429
1644291007,2816M,0.5,661307392.0,0.497845,200,36882960
