scenarioK_csi/samples_base.csv.sample_key,scenarioK_csi/antenna_00_features.csv.subcarrier_21_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_20_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_1_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_19_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_9_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_2_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_4_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_7_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_10_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_8_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_3_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_5_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_6_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_11_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_16_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_70_real,scenarioK_csi/antenna_04_features.csv.subcarrier_69_real,scenarioK_csi/antenna_04_features.csv.subcarrier_74_real,scenarioK_csi/antenna_04_features.csv.subcarrier_71_real,scenarioK_csi/antenna_04_features.csv.subcarrier_73_real,scenarioK_csi/antenna_04_features.csv.subcarrier_67_real,scenarioK_csi/antenna_04_features.csv.subcarrier_63_real,scenarioK_csi/antenna_04_features.csv.subcarrier_75_real,scenarioK_csi/antenna_04_features.csv.subcarrier_76_real,scenarioK_csi/antenna_04_features.csv.subcarrier_94_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_95_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_77_real,scenarioK_csi/antenna_08_features.csv.subcarrier_42_real,scenarioK_csi/antenna_08_features.csv.subcarrier_39_real,scenarioK_csi/antenna_08_features.csv.subcarrier_35_real,scenarioK_csi/antenna_08_features.csv.subcarrier_37_real,scenarioK_csi/antenna_08_features.csv.subcarrier_38_real,scenarioK_csi/antenna_08_features.csv.subcarrier_30_real,scenarioK_csi/antenna_08_features.csv.subcarrier_29_real,scenarioK_csi/antenna_08_features.csv.subcarrier_32_real,scenarioK_csi/antenna_08_features.csv.subcarrier_40_real,scenarioK_csi/antenna_08_features.csv.subcarrier_27_real,scenarioK_csi/antenna_08_features.csv.subcarrier_31_real,scenarioK_csi/antenna_08_features.csv.subcarrier_34_real,scenarioK_csi/antenna_08_features.csv.subcarrier_28_real,scenarioK_csi/antenna_08_features.csv.subcarrier_33_real,scenarioK_csi/antenna_12_features.csv.subcarrier_80_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_81_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_79_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_82_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_13_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_78_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_83_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_11_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_84_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_76_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_85_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_77_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_75_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_73_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_4_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_54_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_55_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_56_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_57_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_5_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_6_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_2_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_1_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_35_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_36_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_37_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_38_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_40_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_41_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_42_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_43_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_46_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_2_real,scenarioK_csi/antenna_24_features.csv.subcarrier_64_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_65_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_66_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_67_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_68_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_69_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_70_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_71_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_72_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_73_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_3_real,scenarioK_csi/antenna_24_features.csv.subcarrier_4_real,scenarioK_csi/antenna_24_features.csv.subcarrier_1_real,target_x
user_0_sample_213,0.00390625,0.00390625,0.0390625,0.01171875,-0.02734375,0.015625,-0.00390625,-0.0234375,-0.04296875,-0.02734375,0.01171875,-0.01171875,-0.0234375,-0.01171875,-0.0234375,-0.16015625,-0.1484375,-0.1484375,-0.15625,-0.13671875,-0.1484375,-0.12890625,-0.12890625,-0.15625,0.171875,0.19140625,-0.15625,-0.05078125,-0.0546875,-0.0546875,-0.05078125,-0.05078125,-0.078125,-0.0703125,-0.0546875,-0.05078125,-0.08203125,-0.0625,-0.0546875,-0.0703125,-0.06640625,0.28125,0.26953125,0.27734375,0.27734375,0.21484375,0.2890625,0.27734375,0.22265625,0.25,0.2890625,0.2890625,0.3046875,0.26953125,0.30859375,-0.01171875,0.12890625,0.13671875,0.1328125,0.109375,-0.01171875,-0.02734375,-0.00390625,0.015625,-0.25390625,-0.2578125,-0.25,-0.25390625,-0.2421875,-0.23828125,-0.23828125,-0.23828125,-0.265625,-0.05078125,-0.44921875,-0.44921875,-0.45703125,-0.4765625,-0.4921875,-0.48046875,-0.484375,-0.4921875,-0.5078125,-0.4921875,-0.0703125,-0.04296875,-0.0390625,-812
user_0_sample_214,0.01171875,-0.00390625,0.0390625,0.00390625,-0.0234375,0.015625,0.01171875,-0.01171875,-0.03125,-0.00390625,0.00390625,0.0,-0.00390625,-0.01171875,-0.02734375,-0.1328125,-0.13671875,-0.1328125,-0.15625,-0.13671875,-0.14453125,-0.13671875,-0.16015625,-0.14453125,0.1640625,0.17578125,-0.1484375,-0.04296875,-0.0546875,-0.06640625,-0.0625,-0.0546875,-0.09375,-0.078125,-0.06640625,-0.06640625,-0.0703125,-0.08203125,-0.0703125,-0.078125,-0.06640625,0.28125,0.265625,0.28125,0.28125,0.21484375,0.27734375,0.2890625,0.2109375,0.28125,0.28125,0.26953125,0.296875,0.296875,0.29296875,-0.015625,0.1171875,0.12109375,0.12109375,0.1328125,-0.0234375,-0.0234375,-0.01171875,0.01171875,-0.265625,-0.2578125,-0.265625,-0.265625,-0.28125,-0.26953125,-0.2578125,-0.2578125,-0.23046875,-0.0546875,-0.44140625,-0.44140625,-0.44140625,-0.46484375,-0.4765625,-0.46875,-0.48046875,-0.5078125,-0.5078125,-0.49609375,-0.05078125,-0.05078125,-0.05078125,-812
user_0_sample_215,0.015625,0.00390625,0.02734375,0.0,-0.02734375,0.015625,0.01171875,-0.01171875,-0.02734375,-0.0234375,0.01171875,-0.015625,-0.01171875,-0.02734375,-0.01171875,-0.15625,-0.1484375,-0.14453125,-0.14453125,-0.1484375,-0.14453125,-0.13671875,-0.1328125,-0.13671875,0.17578125,0.171875,-0.1484375,-0.0546875,-0.05078125,-0.0625,-0.0625,-0.0625,-0.08984375,-0.0703125,-0.0703125,-0.06640625,-0.0703125,-0.078125,-0.0625,-0.078125,-0.078125,0.27734375,0.29296875,0.29296875,0.28125,0.23046875,0.26953125,0.27734375,0.2109375,0.27734375,0.29296875,0.26953125,0.296875,0.2890625,0.296875,-0.02734375,0.109375,0.12109375,0.12109375,0.13671875,-0.02734375,-0.02734375,0.0,-0.00390625,-0.27734375,-0.25390625,-0.2578125,-0.25390625,-0.27734375,-0.2578125,-0.25390625,-0.2421875,-0.23046875,-0.05078125,-0.44921875,-0.44921875,-0.46484375,-0.46484375,-0.4765625,-0.48046875,-0.50390625,-0.50390625,-0.49609375,-0.49609375,-0.03125,-0.0546875,-0.05078125,-812
user_0_sample_216,0.01171875,-0.00390625,0.03125,-0.00390625,-0.0390625,0.015625,0.00390625,-0.015625,-0.015625,-0.015625,0.00390625,0.0,-0.015625,-0.02734375,-0.02734375,-0.12890625,-0.13671875,-0.15625,-0.16015625,-0.15625,-0.1484375,-0.14453125,-0.1328125,-0.1484375,0.17578125,0.18359375,-0.14453125,-0.0703125,-0.05078125,-0.0546875,-0.05078125,-0.0625,-0.078125,-0.06640625,-0.06640625,-0.05078125,-0.06640625,-0.0703125,-0.06640625,-0.078125,-0.0703125,0.27734375,0.2890625,0.27734375,0.27734375,0.2265625,0.28125,0.26953125,0.2109375,0.265625,0.27734375,0.2890625,0.3046875,0.296875,0.3046875,-0.03125,0.12109375,0.12109375,0.1171875,0.12109375,-0.015625,-0.0234375,-0.00390625,0.01171875,-0.265625,-0.26953125,-0.2578125,-0.2890625,-0.265625,-0.26953125,-0.265625,-0.27734375,-0.2578125,-0.0546875,-0.44140625,-0.44140625,-0.45703125,-0.45703125,-0.46875,-0.48046875,-0.4921875,-0.4921875,-0.50390625,-0.5078125,-0.04296875,-0.04296875,-0.0625,-812
user_0_sample_217,-0.01171875,0.015625,0.02734375,-0.00390625,-0.0234375,0.02734375,-0.00390625,-0.00390625,-0.02734375,-0.015625,0.01171875,0.00390625,-0.0234375,-0.0234375,-0.02734375,-0.1328125,-0.13671875,-0.13671875,-0.16015625,-0.1484375,-0.14453125,-0.13671875,-0.13671875,-0.14453125,0.1875,0.1875,-0.1484375,-0.05078125,-0.0625,-0.08984375,-0.0546875,-0.0546875,-0.078125,-0.078125,-0.06640625,-0.0546875,-0.0703125,-0.0703125,-0.06640625,-0.08203125,-0.06640625,0.2890625,0.28125,0.28125,0.28125,0.21484375,0.296875,0.27734375,0.1875,0.26953125,0.29296875,0.28125,0.3046875,0.29296875,0.2890625,-0.0234375,0.12890625,0.12109375,0.1328125,0.12109375,-0.01171875,-0.02734375,0.00390625,0.01171875,-0.28125,-0.2578125,-0.2578125,-0.2578125,-0.26953125,-0.25390625,-0.2578125,-0.26953125,-0.265625,-0.04296875,-0.4375,-0.44140625,-0.44140625,-0.453125,-0.484375,-0.4765625,-0.4921875,-0.50390625,-0.49609375,-0.50390625,-0.04296875,-0.0546875,-0.0390625,-812
user_0_sample_218,0.01171875,-0.00390625,0.0234375,-0.00390625,-0.015625,0.0234375,0.0,-0.015625,-0.03125,0.0,0.015625,0.0,-0.03125,-0.0234375,-0.01171875,-0.1484375,-0.1484375,-0.16015625,-0.14453125,-0.14453125,-0.1484375,-0.1328125,-0.13671875,-0.15625,0.17578125,0.18359375,-0.1484375,-0.0390625,-0.0390625,-0.0625,-0.0625,-0.0546875,-0.078125,-0.06640625,-0.0546875,-0.04296875,-0.0703125,-0.0703125,-0.06640625,-0.078125,-0.0546875,0.3046875,0.2890625,0.3046875,0.2890625,0.2265625,0.29296875,0.28125,0.2109375,0.28125,0.296875,0.28125,0.3046875,0.2890625,0.296875,-0.02734375,0.1171875,0.12109375,0.1171875,0.12109375,-0.02734375,-0.02734375,0.00390625,0.0,-0.2890625,-0.2578125,-0.2890625,-0.26953125,-0.28125,-0.27734375,-0.265625,-0.26953125,-0.265625,-0.0625,-0.44140625,-0.453125,-0.46875,-0.45703125,-0.453125,-0.484375,-0.50390625,-0.4765625,-0.49609375,-0.50390625,-0.02734375,-0.0390625,-0.05078125,-812
user_0_sample_219,0.00390625,0.00390625,0.015625,0.00390625,-0.0390625,0.015625,0.0,-0.01171875,-0.0234375,-0.01171875,-0.00390625,0.00390625,-0.0234375,-0.01171875,-0.01171875,-0.13671875,-0.14453125,-0.1484375,-0.1484375,-0.14453125,-0.16015625,-0.12109375,-0.1328125,-0.14453125,0.18359375,0.17578125,-0.1484375,-0.06640625,-0.0703125,-0.0546875,-0.0546875,-0.0546875,-0.0703125,-0.0546875,-0.06640625,-0.06640625,-0.0703125,-0.078125,-0.06640625,-0.078125,-0.0546875,0.2890625,0.296875,0.296875,0.26953125,0.2109375,0.28125,0.28125,0.21484375,0.27734375,0.26953125,0.26953125,0.29296875,0.29296875,0.28125,-0.0234375,0.10546875,0.1328125,0.12890625,0.1328125,-0.015625,-0.0390625,0.0,0.0,-0.27734375,-0.25,-0.26953125,-0.2578125,-0.26953125,-0.2578125,-0.25,-0.2578125,-0.25390625,-0.05078125,-0.45703125,-0.46484375,-0.453125,-0.45703125,-0.4765625,-0.49609375,-0.4765625,-0.5078125,-0.49609375,-0.51953125,-0.04296875,-0.04296875,-0.05078125,-812
user_0_sample_21,0.0,0.01171875,0.02734375,0.00390625,-0.01171875,0.0234375,-0.00390625,-0.015625,-0.015625,-0.01171875,0.00390625,0.0,-0.015625,-0.0234375,-0.01171875,-0.16015625,-0.15625,-0.171875,-0.16015625,-0.171875,-0.15625,-0.16015625,-0.16015625,-0.1484375,0.19140625,0.19140625,-0.1640625,-0.03125,-0.0546875,-0.04296875,-0.02734375,-0.03125,-0.0546875,-0.04296875,-0.0546875,-0.05078125,-0.0546875,-0.06640625,-0.0625,-0.0546875,-0.0390625,0.28125,0.27734375,0.2890625,0.28125,0.22265625,0.26953125,0.265625,0.2109375,0.27734375,0.28125,0.2890625,0.29296875,0.28125,0.28125,-0.0234375,0.1171875,0.12109375,0.12109375,0.12109375,-0.01171875,-0.05078125,0.0,0.01171875,-0.26953125,-0.2421875,-0.25390625,-0.2578125,-0.2578125,-0.25,-0.25390625,-0.25390625,-0.23046875,-0.03125,-0.4140625,-0.4296875,-0.4375,-0.4375,-0.453125,-0.46875,-0.46875,-0.46484375,-0.484375,-0.46875,-0.0546875,-0.06640625,-0.06640625,-812
user_0_sample_220,0.01171875,0.0,0.03125,-0.00390625,-0.02734375,0.015625,0.0234375,-0.02734375,-0.02734375,-0.01171875,0.0,-0.01171875,-0.02734375,-0.02734375,-0.00390625,-0.14453125,-0.13671875,-0.16015625,-0.1484375,-0.12890625,-0.13671875,-0.13671875,-0.1328125,-0.13671875,0.1875,0.16015625,-0.14453125,-0.03125,-0.0390625,-0.06640625,-0.05078125,-0.0546875,-0.06640625,-0.0625,-0.04296875,-0.0390625,-0.08984375,-0.0625,-0.0546875,-0.0546875,-0.0703125,0.2890625,0.2890625,0.26953125,0.27734375,0.2265625,0.29296875,0.265625,0.203125,0.2578125,0.28125,0.28125,0.296875,0.29296875,0.296875,-0.02734375,0.10546875,0.12890625,0.12109375,0.13671875,-0.0234375,-0.03125,-0.01171875,-0.00390625,-0.265625,-0.2578125,-0.28125,-0.28125,-0.27734375,-0.27734375,-0.26953125,-0.27734375,-0.27734375,-0.03125,-0.44140625,-0.46875,-0.46484375,-0.45703125,-0.46875,-0.46484375,-0.49609375,-0.50390625,-0.50390625,-0.50390625,-0.0546875,-0.0390625,-0.0546875,-812
user_0_sample_221,0.015625,-0.00390625,0.02734375,0.015625,-0.02734375,0.0234375,0.01171875,-0.015625,-0.0234375,-0.02734375,0.015625,-0.01171875,-0.01171875,-0.0390625,-0.01171875,-0.13671875,-0.16015625,-0.1484375,-0.16015625,-0.1484375,-0.13671875,-0.1328125,-0.13671875,-0.1484375,0.1875,0.16015625,-0.15625,-0.04296875,-0.0625,-0.0625,-0.0546875,-0.05078125,-0.0703125,-0.0703125,-0.08984375,-0.05078125,-0.0625,-0.078125,-0.06640625,-0.06640625,-0.0546875,0.27734375,0.29296875,0.29296875,0.28125,0.2265625,0.27734375,0.28125,0.2109375,0.27734375,0.2890625,0.28125,0.3046875,0.2890625,0.29296875,-0.03125,0.1171875,0.1171875,0.109375,0.1328125,-0.015625,-0.0390625,0.0,-0.015625,-0.25390625,-0.26953125,-0.26953125,-0.26953125,-0.2578125,-0.2578125,-0.265625,-0.265625,-0.2421875,-0.05078125,-0.4296875,-0.4375,-0.45703125,-0.4765625,-0.4765625,-0.46875,-0.49609375,-0.48046875,-0.49609375,-0.5078125,-0.0390625,-0.0390625,-0.0546875,-812
user_0_sample_222,0.00390625,0.00390625,0.02734375,0.0,-0.03125,0.01171875,0.00390625,-0.0234375,-0.01171875,-0.0234375,0.0234375,-0.015625,-0.02734375,-0.03125,-0.01171875,-0.1328125,-0.15625,-0.1328125,-0.16015625,-0.1484375,-0.15625,-0.12890625,-0.13671875,-0.14453125,0.17578125,0.19140625,-0.13671875,-0.04296875,-0.0625,-0.06640625,-0.0546875,-0.0390625,-0.0625,-0.0703125,-0.05078125,-0.0546875,-0.0703125,-0.0703125,-0.0625,-0.08203125,-0.0625,0.28125,0.27734375,0.26953125,0.26953125,0.2265625,0.27734375,0.2890625,0.2265625,0.25390625,0.28125,0.27734375,0.29296875,0.3046875,0.29296875,-0.0234375,0.12109375,0.1171875,0.12109375,0.13671875,-0.03125,-0.0234375,-0.00390625,-0.00390625,-0.265625,-0.2578125,-0.27734375,-0.2578125,-0.25390625,-0.265625,-0.2578125,-0.26953125,-0.25390625,-0.0390625,-0.44921875,-0.45703125,-0.45703125,-0.46484375,-0.4921875,-0.484375,-0.49609375,-0.4921875,-0.515625,-0.5078125,-0.05078125,-0.04296875,-0.0390625,-812
user_0_sample_223,0.00390625,0.01171875,0.0234375,-0.01171875,-0.0234375,0.00390625,0.01171875,-0.015625,-0.02734375,-0.02734375,0.01171875,-0.02734375,-0.015625,-0.015625,0.0,-0.15625,-0.1484375,-0.14453125,-0.13671875,-0.14453125,-0.14453125,-0.13671875,-0.12890625,-0.1328125,0.18359375,0.1640625,-0.15625,-0.0390625,-0.02734375,-0.04296875,-0.0546875,-0.0625,-0.0546875,-0.06640625,-0.0625,-0.0546875,-0.06640625,-0.05078125,-0.0625,-0.0625,-0.0546875,0.296875,0.27734375,0.2890625,0.2890625,0.22265625,0.28125,0.27734375,0.19921875,0.27734375,0.27734375,0.29296875,0.3046875,0.27734375,0.2890625,-0.0234375,0.10546875,0.1171875,0.14453125,0.1328125,-0.02734375,-0.0390625,0.0,0.0,-0.26953125,-0.2578125,-0.2578125,-0.26953125,-0.2578125,-0.265625,-0.25390625,-0.265625,-0.2578125,-0.0390625,-0.4375,-0.45703125,-0.45703125,-0.46484375,-0.484375,-0.4765625,-0.484375,-0.515625,-0.4921875,-0.50390625,-0.0625,-0.04296875,-0.05078125,-812
user_0_sample_224,0.00390625,0.015625,0.02734375,-0.00390625,-0.015625,0.00390625,0.0,-0.0234375,-0.02734375,-0.015625,0.01171875,-0.01171875,-0.02734375,-0.03125,-0.01171875,-0.12890625,-0.12890625,-0.12890625,-0.15625,-0.1484375,-0.14453125,-0.1328125,-0.14453125,-0.14453125,0.1640625,0.1640625,-0.1328125,-0.0546875,-0.06640625,-0.0703125,-0.0546875,-0.0625,-0.06640625,-0.078125,-0.04296875,-0.04296875,-0.06640625,-0.078125,-0.06640625,-0.08203125,-0.0625,0.28125,0.296875,0.2890625,0.27734375,0.22265625,0.3046875,0.2890625,0.21484375,0.27734375,0.28125,0.26953125,0.2890625,0.27734375,0.29296875,-0.02734375,0.1171875,0.12109375,0.12109375,0.14453125,-0.015625,-0.03125,0.00390625,-0.01171875,-0.27734375,-0.27734375,-0.2578125,-0.26953125,-0.2421875,-0.2578125,-0.25,-0.26953125,-0.25,-0.04296875,-0.4296875,-0.4375,-0.46484375,-0.4765625,-0.46875,-0.49609375,-0.4921875,-0.49609375,-0.515625,-0.50390625,-0.04296875,-0.05078125,-0.0546875,-812
user_0_sample_225,0.015625,0.00390625,0.03125,0.00390625,-0.0234375,0.015625,0.00390625,-0.0234375,-0.0234375,-0.00390625,0.0,-0.00390625,-0.0234375,-0.02734375,-0.0234375,-0.14453125,-0.14453125,-0.16015625,-0.16015625,-0.14453125,-0.1484375,-0.1328125,-0.14453125,-0.13671875,0.1640625,0.18359375,-0.1484375,-0.05078125,-0.0390625,-0.0546875,-0.03125,-0.05078125,-0.06640625,-0.05078125,-0.0546875,-0.0546875,-0.0703125,-0.0546875,-0.0625,-0.078125,-0.0546875,0.2890625,0.28125,0.265625,0.265625,0.22265625,0.27734375,0.26953125,0.2109375,0.265625,0.27734375,0.27734375,0.29296875,0.2890625,0.296875,-0.03125,0.09375,0.1171875,0.12109375,0.13671875,-0.03125,-0.015625,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.265625,-0.265625,-0.25390625,-0.23828125,-0.2421875,-0.04296875,-0.42578125,-0.44140625,-0.45703125,-0.45703125,-0.4765625,-0.46484375,-0.48046875,-0.4921875,-0.484375,-0.50390625,-0.0390625,-0.0390625,-0.0546875,-812
user_0_sample_226,0.015625,0.00390625,0.02734375,-0.015625,-0.0234375,0.0234375,-0.00390625,-0.01171875,-0.0234375,-0.015625,0.0234375,0.0,-0.01171875,-0.02734375,-0.0234375,-0.1328125,-0.13671875,-0.13671875,-0.1640625,-0.1484375,-0.1484375,-0.1484375,-0.13671875,-0.1328125,0.17578125,0.1875,-0.14453125,-0.02734375,-0.0390625,-0.0390625,-0.04296875,-0.03125,-0.04296875,-0.0390625,-0.04296875,-0.02734375,-0.0546875,-0.04296875,-0.0390625,-0.0390625,-0.04296875,0.296875,0.296875,0.3046875,0.296875,0.2265625,0.29296875,0.27734375,0.23046875,0.265625,0.28125,0.26953125,0.296875,0.2890625,0.2890625,-0.0390625,0.1171875,0.12890625,0.1171875,0.1171875,-0.01171875,-0.0390625,-0.00390625,-0.00390625,-0.296875,-0.296875,-0.28125,-0.26953125,-0.26953125,-0.26953125,-0.26953125,-0.265625,-0.25390625,-0.0546875,-0.44921875,-0.453125,-0.46484375,-0.45703125,-0.46484375,-0.4765625,-0.50390625,-0.515625,-0.50390625,-0.484375,-0.04296875,-0.04296875,-0.04296875,-812
user_0_sample_227,0.01171875,0.0,0.0234375,-0.01171875,-0.0234375,0.0,-0.00390625,-0.01171875,-0.04296875,-0.01171875,-0.00390625,-0.00390625,-0.015625,-0.02734375,-0.015625,-0.1328125,-0.1484375,-0.14453125,-0.14453125,-0.14453125,-0.12109375,-0.14453125,-0.15625,-0.14453125,0.16015625,0.1640625,-0.16015625,-0.04296875,-0.0390625,-0.0625,-0.0625,-0.02734375,-0.0546875,-0.0625,-0.0625,-0.0546875,-0.0625,-0.0703125,-0.0625,-0.0625,-0.0546875,0.28125,0.296875,0.29296875,0.265625,0.22265625,0.28125,0.28125,0.203125,0.26953125,0.27734375,0.27734375,0.29296875,0.29296875,0.296875,-0.02734375,0.10546875,0.12109375,0.12109375,0.12109375,-0.01171875,-0.0390625,0.00390625,0.0,-0.29296875,-0.265625,-0.26953125,-0.27734375,-0.27734375,-0.265625,-0.265625,-0.27734375,-0.2578125,-0.0546875,-0.44140625,-0.4375,-0.45703125,-0.46484375,-0.48046875,-0.50390625,-0.50390625,-0.49609375,-0.49609375,-0.4921875,-0.03125,-0.05078125,-0.05078125,-812
user_0_sample_228,0.01171875,0.0,0.03125,0.0,-0.0234375,0.02734375,0.0,-0.02734375,-0.01171875,-0.02734375,0.01171875,-0.0234375,-0.01171875,-0.04296875,-0.0234375,-0.1484375,-0.1328125,-0.14453125,-0.13671875,-0.13671875,-0.1328125,-0.15625,-0.16015625,-0.14453125,0.16015625,0.17578125,-0.14453125,-0.0546875,-0.0546875,-0.06640625,-0.0546875,-0.05078125,-0.06640625,-0.06640625,-0.06640625,-0.0390625,-0.0703125,-0.0625,-0.0703125,-0.06640625,-0.06640625,0.2890625,0.2890625,0.2890625,0.28125,0.23046875,0.296875,0.28125,0.21484375,0.28125,0.2890625,0.27734375,0.296875,0.2890625,0.29296875,-0.015625,0.109375,0.12109375,0.12890625,0.109375,-0.01171875,-0.015625,-0.00390625,0.01171875,-0.25390625,-0.25,-0.26953125,-0.25,-0.265625,-0.2421875,-0.265625,-0.2421875,-0.25,-0.04296875,-0.44921875,-0.453125,-0.4765625,-0.45703125,-0.46484375,-0.46484375,-0.4921875,-0.4765625,-0.4921875,-0.50390625,-0.04296875,-0.0390625,-0.04296875,-812
user_0_sample_229,0.00390625,-0.01171875,0.015625,0.01171875,-0.0390625,0.015625,-0.00390625,-0.015625,-0.03125,-0.0234375,0.00390625,0.0,-0.01171875,-0.0234375,-0.0234375,-0.1484375,-0.14453125,-0.14453125,-0.15625,-0.14453125,-0.14453125,-0.1328125,-0.13671875,-0.14453125,0.171875,0.1640625,-0.1484375,-0.04296875,-0.05078125,-0.05078125,-0.0546875,-0.04296875,-0.06640625,-0.05078125,-0.0625,-0.04296875,-0.0703125,-0.05078125,-0.05078125,-0.06640625,-0.0546875,0.2890625,0.2890625,0.2890625,0.28125,0.22265625,0.2890625,0.2890625,0.2109375,0.2890625,0.28125,0.28125,0.296875,0.2890625,0.2890625,-0.02734375,0.10546875,0.1171875,0.12890625,0.12890625,-0.01171875,-0.04296875,-0.0234375,-0.00390625,-0.25390625,-0.26953125,-0.26953125,-0.26953125,-0.265625,-0.2421875,-0.265625,-0.25390625,-0.25,-0.04296875,-0.44921875,-0.453125,-0.44921875,-0.46484375,-0.4765625,-0.48046875,-0.48046875,-0.515625,-0.49609375,-0.5078125,-0.05078125,-0.0390625,-0.078125,-812
user_0_sample_22,0.00390625,-0.00390625,0.0390625,0.0,-0.0234375,0.015625,0.01171875,-0.01171875,-0.0234375,-0.00390625,0.0234375,-0.01171875,-0.02734375,-0.02734375,-0.00390625,-0.16015625,-0.16015625,-0.13671875,-0.1640625,-0.171875,-0.171875,-0.15625,-0.15625,-0.1640625,0.19140625,0.19140625,-0.13671875,-0.0390625,-0.0390625,-0.05078125,-0.05078125,-0.02734375,-0.05078125,-0.05078125,-0.05078125,-0.03125,-0.05078125,-0.05078125,-0.0390625,-0.0546875,-0.0390625,0.265625,0.27734375,0.28125,0.25390625,0.21484375,0.29296875,0.28125,0.203125,0.26953125,0.2890625,0.25390625,0.2890625,0.27734375,0.3046875,-0.02734375,0.09765625,0.1328125,0.12109375,0.12890625,-0.00390625,-0.03125,0.00390625,0.0,-0.2578125,-0.265625,-0.2421875,-0.25,-0.2421875,-0.2578125,-0.265625,-0.2578125,-0.25390625,-0.05078125,-0.41796875,-0.42578125,-0.44140625,-0.44140625,-0.4375,-0.44140625,-0.45703125,-0.45703125,-0.48046875,-0.4765625,-0.02734375,-0.0546875,-0.03125,-812
