scenario2c/rabbitmq-features.csv.n,scenario2c/rabbitmq-reduced.csv.n,scenario2c/rabbitmq-features.csv.lat50,scenario2c/rabbitmq-features.csv.cpu_usage,scenario2c/rabbitmq-features.csv.ram_limit,scenario2c/rabbitmq-reduced.csv.cpu_limit,scenario2c/rabbitmq-features.csv.lat95,scenario2c/rabbitmq-reduced.csv.ram_limit,scenario2c/rabbitmq-reduced.csv.time,scenario2c/rabbitmq-features.csv.lat75,lat99,scenario2c/rabbitmq-features.csv.min,scenario2c/rabbitmq-features.csv.cpu_limit
50,50,28140563,0.4636,4096M,0.5,28450608,4096M,1644253885,28272497,28503799,27698300,0.5
100,100,41709050,0.488697,4096M,0.5,42112346,4096M,1644253954,41915787,42176298,41177589,0.5
100,100,41754653,0.488288,4096M,0.5,42112542,4096M,1644254039,41967164,42165307,41264122,0.5
50,50,153825,0.33988,4096M,0.5,211542,4096M,1644254510,178607,256074,37312,0.5
50,50,164386,0.421981,4096M,0.5,216689,4096M,1644254572,190482,256017,52617,0.5
50,50,146900,0.470983,4096M,0.5,200123,4096M,1644254635,176287,245869,37968,0.5
50,50,134320,0.458622,4096M,0.5,196411,4096M,1644254698,164195,246030,38983,0.5
100,100,17222745,0.426023,4096M,0.5,17506451,4096M,1644254766,17333617,17608140,16639542,0.5
100,100,17016872,0.426618,4096M,0.5,17292601,4096M,1644254835,17113392,17370584,16544309,0.5
100,100,16846095,0.440343,4096M,0.5,17103166,4096M,1644254903,16939776,17204947,16361356,0.5
100,100,16080897,0.448078,4096M,0.5,16467698,4096M,1644254972,16231173,16568009,15426064,0.5
100,100,16216631,0.455343,4096M,0.5,16462550,4096M,1644255041,16322435,16626925,15754900,0.5
150,150,29898625,0.458713,4096M,0.5,30246261,4096M,1644255111,30066257,30371072,29273511,0.5
150,150,29912915,0.468431,4096M,0.5,30263052,4096M,1644255182,30096270,30347908,29263533,0.5
150,150,29851647,0.478001,4096M,0.5,30166721,4096M,1644255252,29985626,30256448,29256739,0.5
150,150,30052886,0.489545,4096M,0.5,30382382,4096M,1644255323,30203884,30482206,29509345,0.5
150,150,29762190,0.49844,4096M,0.5,30104148,4096M,1644255393,29888254,30225230,28871072,0.5
200,200,36239541,0.498291,4096M,0.5,36734694,4096M,1644255465,36442221,36822753,35599226,0.5
200,200,36030221,0.498558,4096M,0.5,36494697,4096M,1644255544,36188891,36822106,35484484,0.5
200,200,36437425,0.498431,4096M,0.5,37039684,4096M,1644255623,36716724,37163594,35565837,0.5
200,200,36187735,0.498303,4096M,0.5,36693138,4096M,1644255702,36429760,36858232,35569007,0.5
200,200,36298304,0.498393,4096M,0.5,36712496,4096M,1644255780,36480612,36851549,35605373,0.5
250,250,40886208,0.498396,4096M,0.5,41463644,4096M,1644255860,41130602,41582916,40096357,0.5
250,250,41039423,0.498433,4096M,0.5,41425473,4096M,1644255947,41224969,41523808,40359742,0.5
250,250,40806463,0.497918,4096M,0.5,41418271,4096M,1644256035,41060300,41745245,39998190,0.5
250,250,40886800,0.498048,4096M,0.5,41334722,4096M,1644256122,41090554,41512539,40147311,0.5
300,300,43079897,0.497986,4096M,0.5,43752875,4096M,1644256211,43411347,44066451,42037672,0.5
300,300,43113221,0.498059,4096M,0.5,43679573,4096M,1644256308,43325268,43956378,42326198,0.5
300,300,43338857,0.498356,4096M,0.5,43815844,4096M,1644256405,43579384,43990622,42384970,0.5
300,300,43290482,0.498086,4096M,0.5,43849724,4096M,1644256502,43508269,44103959,42336920,0.5
300,300,43043796,0.497672,4096M,0.5,43472111,4096M,1644256599,43234825,43597251,42355402,0.5
350,350,45630859,0.497897,4096M,0.5,46197940,4096M,1644256697,45893654,46468711,44839283,0.5
350,350,46087475,0.4978,4096M,0.5,46414186,4096M,1644256796,46254266,46572788,45324743,0.5
350,350,45960662,0.497803,4096M,0.5,46399910,4096M,1644256896,46163723,46499746,45130916,0.5
350,350,46024076,0.497247,4096M,0.5,46352591,4096M,1644256995,46183317,46437690,44900753,0.5
400,400,46918329,0.498005,4096M,0.5,47462251,4096M,1644257096,47142196,47778078,45984207,0.5
400,400,46925913,0.497996,4096M,0.5,47374380,4096M,1644257197,47088032,47623834,46372026,0.5
400,400,46953341,0.497816,4096M,0.5,47598933,4096M,1644257298,47234337,47890674,46017147,0.5
400,400,46824504,0.497739,4096M,0.5,47528198,4096M,1644257399,47148449,47745353,45982037,0.5
400,400,46887267,0.498084,4096M,0.5,47545894,4096M,1644257502,47132003,47820850,45897312,0.5
450,450,47801247,0.497828,4096M,0.5,48533379,4096M,1644257604,48065867,48855672,46691243,0.5
450,450,47779873,0.497753,4096M,0.5,48287589,4096M,1644257708,48005317,48457128,46748150,0.5
450,450,47582824,0.497826,4096M,0.5,47995088,4096M,1644257810,47768124,48172023,46931086,0.5
450,450,47553802,0.497668,4096M,0.5,48454415,4096M,1644257913,47871313,48926760,46856970,0.5
450,450,47741432,0.497946,4096M,0.5,48333326,4096M,1644258016,48038646,48550811,46774568,0.5
500,500,48100258,0.497785,4096M,0.5,48641680,4096M,1644258122,48327220,48760435,46810240,0.5
50,50,131651,0.317284,3968M,0.5,195230,3968M,1644258362,163746,235637,38368,0.5
50,50,116873,0.399158,3968M,0.5,174686,3968M,1644258425,141704,188349,27976,0.5
50,50,149560,0.459687,3968M,0.5,213280,3968M,1644258487,178380,262729,35982,0.5
50,50,121635,0.459433,3968M,0.5,175187,3968M,1644258550,148856,184208,35759,0.5
50,50,141860,0.424865,3968M,0.5,189775,3968M,1644258613,166935,211849,44106,0.5
100,100,16513864,0.419814,3968M,0.5,16814111,3968M,1644258681,16628061,16984651,15774724,0.5
100,100,16538775,0.419783,3968M,0.5,16804068,3968M,1644258750,16658538,16965153,16054021,0.5
100,100,16839098,0.437926,3968M,0.5,17105865,3968M,1644258819,16941482,17180536,16276984,0.5
100,100,16031918,0.435972,3968M,0.5,16365044,3968M,1644258887,16178900,16486301,15155676,0.5
100,100,15580400,0.463927,3968M,0.5,16084167,3968M,1644258957,15691499,16274027,14941439,0.5
150,150,30012266,0.453837,3968M,0.5,30332724,3968M,1644259027,30156804,30426681,29431184,0.5
150,150,29837744,0.46426,3968M,0.5,30161641,3968M,1644259097,29984440,30263898,29339034,0.5
150,150,29722062,0.47683,3968M,0.5,30046058,3968M,1644259167,29867011,30170109,29100795,0.5
150,150,29746834,0.488022,3968M,0.5,30069797,3968M,1644259238,29890175,30155832,29167149,0.5
150,150,29791376,0.498041,3968M,0.5,30150437,3968M,1644259308,29939205,30260361,29119497,0.5
200,200,36138453,0.498134,3968M,0.5,36675194,3968M,1644259380,36416746,36831449,35211830,0.5
200,200,36099675,0.497974,3968M,0.5,36584690,3968M,1644259459,36296282,36683600,35459586,0.5
200,200,36141023,0.498433,3968M,0.5,36588539,3968M,1644259538,36317750,36751525,35546570,0.5
200,200,36232729,0.498242,3968M,0.5,36675784,3968M,1644259616,36455795,36753323,35204858,0.5
200,200,36502418,0.498052,3968M,0.5,36769893,3968M,1644259695,36617981,36891679,35474384,0.5
250,250,40599762,0.498274,3968M,0.5,41239206,3968M,1644259775,40840922,41409476,39953069,0.5
250,250,40736945,0.497997,3968M,0.5,41377685,3968M,1644259863,41038211,41623180,40016652,0.5
250,250,40635238,0.497745,3968M,0.5,41152596,3968M,1644259950,40892946,41537993,39894686,0.5
250,250,40596566,0.49782,3968M,0.5,41357749,3968M,1644260038,40841709,41535562,39536645,0.5
250,250,40869655,0.497846,3968M,0.5,41323518,3968M,1644260126,41090524,41427764,40011337,0.5
300,300,42762169,0.498004,3968M,0.5,43247846,3968M,1644260215,42967108,43385924,42066450,0.5
300,300,42719483,0.497824,3968M,0.5,43180875,3968M,1644260312,42894559,43368967,41848862,0.5
300,300,42971196,0.497851,3968M,0.5,43527966,3968M,1644260409,43172971,43712187,42388517,0.5
300,300,42476385,0.497903,3968M,0.5,43288024,3968M,1644260505,42744629,43532007,41211136,0.5
300,300,42974065,0.498152,3968M,0.5,43654318,3968M,1644260602,43234450,43803696,42324970,0.5
350,350,45499435,0.498303,3968M,0.5,45994898,3968M,1644260700,45712882,46141929,44908107,0.5
400,400,47005926,0.498406,3968M,0.5,47773091,3968M,1644260802,47368534,47895301,46144851,0.5
400,400,47116068,0.497989,3968M,0.5,47535831,3968M,1644260904,47370946,47641356,46293670,0.5
400,400,46721515,0.49794,3968M,0.5,47700805,3968M,1644261005,47186700,47882948,45557132,0.5
400,400,47103509,0.497561,3968M,0.5,47508033,3968M,1644261106,47303301,47702852,46084280,0.5
400,400,46942051,0.497835,3968M,0.5,47738093,3968M,1644261207,47294745,47912807,45715148,0.5
450,450,47943998,0.49795,3968M,0.5,48498928,3968M,1644261310,48216140,48630985,47056798,0.5
450,450,47820656,0.497708,3968M,0.5,48461545,3968M,1644261414,48074363,48569088,47053819,0.5
450,450,47731711,0.497468,3968M,0.5,48233110,3968M,1644261517,47956392,48423152,46752301,0.5
450,450,47544439,0.497537,3968M,0.5,48210417,3968M,1644261619,47726752,48479382,46702350,0.5
450,450,47666345,0.497372,3968M,0.5,48245945,3968M,1644261722,47904808,48397003,46606540,0.5
500,500,48184591,0.496444,3968M,0.5,48697219,3968M,1644261827,48405816,48856415,47227880,0.5
500,500,48164182,0.497464,3968M,0.5,48698536,3968M,1644261931,48400082,48860064,47261338,0.5
50,50,142074,0.304458,3840M,0.5,192213,3840M,1644262182,167149,224149,39147,0.5
50,50,142577,0.433587,3840M,0.5,192362,3840M,1644262244,169650,209671,44533,0.5
50,50,138173,0.477339,3840M,0.5,184151,3840M,1644262307,163487,193363,32624,0.5
50,50,129275,0.459459,3840M,0.5,185090,3840M,1644262370,157626,203370,33871,0.5
100,100,16790050,0.442299,3840M,0.5,16988460,3840M,1644262438,16879754,17052470,16260449,0.5
100,100,16279380,0.414109,3840M,0.5,16491230,3840M,1644262507,16378291,16577578,15584818,0.5
100,100,16375472,0.441797,3840M,0.5,16665576,3840M,1644262575,16476287,16744770,15718722,0.5
100,100,15527787,0.448193,3840M,0.5,15812205,3840M,1644262644,15652566,15949672,14942853,0.5
100,100,15942209,0.463759,3840M,0.5,16323284,3840M,1644262713,16104576,16534993,15293498,0.5
150,150,29266867,0.454702,3840M,0.5,29631192,3840M,1644262782,29414042,29782543,28716874,0.5
150,150,29714550,0.467692,3840M,0.5,30081388,3840M,1644262853,29875771,30227894,29083431,0.5
150,150,29021728,0.476052,3840M,0.5,29332963,3840M,1644262924,29135146,29476872,28492856,0.5
150,150,29123797,0.487581,3840M,0.5,29626492,3840M,1644262994,29381411,29775609,28393757,0.5
150,150,29898162,0.498627,3840M,0.5,30245866,3840M,1644263064,30074566,30365929,29153091,0.5
200,200,36284942,0.498331,3840M,0.5,36574723,3840M,1644263136,36407150,36644306,35391786,0.5
200,200,36028377,0.498506,3840M,0.5,36648963,3840M,1644263214,36299063,36813384,35424171,0.5
200,200,36091234,0.498402,3840M,0.5,36442363,3840M,1644263293,36263369,36549356,35321117,0.5
200,200,35956843,0.498183,3840M,0.5,36714784,3840M,1644263372,36199771,36856716,35156900,0.5
200,200,35982020,0.498085,3840M,0.5,36387500,3840M,1644263450,36154249,36697689,35267413,0.5
250,250,40683840,0.498012,3840M,0.5,41194395,3840M,1644263529,40904372,41322613,40043885,0.5
250,250,40626755,0.498139,3840M,0.5,41135522,3840M,1644263618,40833650,41304889,39860491,0.5
250,250,40902562,0.497864,3840M,0.5,41511881,3840M,1644263706,41200463,41611589,39607523,0.5
250,250,40613935,0.498494,3840M,0.5,41016702,3840M,1644263793,40824119,41207402,39860424,0.5
250,250,40740229,0.498035,3840M,0.5,41272079,3840M,1644263882,41007645,41400104,40054086,0.5
300,300,42825850,0.498167,3840M,0.5,43453735,3840M,1644263971,43076228,43573322,42113722,0.5
300,300,42429611,0.497751,3840M,0.5,43225349,3840M,1644264068,42727047,43403735,41598447,0.5
300,300,42479978,0.498141,3840M,0.5,43157132,3840M,1644264165,42732567,43415561,41796567,0.5
350,350,45602026,0.498299,3840M,0.5,46047548,3840M,1644264263,45796438,46252210,44882413,0.5
350,350,45568513,0.497901,3840M,0.5,45927036,3840M,1644264363,45756722,46050460,44825087,0.5
350,350,45625137,0.497893,3840M,0.5,46081134,3840M,1644264463,45844406,46209247,44711853,0.5
400,400,46889559,0.49777,3840M,0.5,47649052,3840M,1644264564,47220388,47818391,45887586,0.5
400,400,46614860,0.498007,3840M,0.5,47463565,3840M,1644264665,47029040,47535008,45941853,0.5
450,450,47658053,0.497908,3840M,0.5,48184679,3840M,1644264768,47971576,48289505,46828510,0.5
450,450,47484591,0.497849,3840M,0.5,48149522,3840M,1644264871,47781487,48253645,46587786,0.5
500,500,48138592,0.49754,3840M,0.5,48755362,3840M,1644264976,48373590,49023061,47111201,0.5
500,500,47873288,0.497713,3840M,0.5,48442465,3840M,1644265081,48161831,48753895,47189296,0.5
50,50,144284,0.319311,3712M,0.5,197855,3712M,1644265322,169907,219617,43219,0.5
50,50,166353,0.401493,3712M,0.5,212122,3712M,1644265384,185399,257652,51022,0.5
50,50,89932,0.451285,3712M,0.5,189837,3712M,1644265447,143863,213499,4055,0.5
50,50,109644,0.461762,3712M,0.5,173781,3712M,1644265509,140026,194556,32208,0.5
50,50,108860,0.439592,3712M,0.5,170137,3712M,1644265572,135336,184636,29995,0.5
100,100,15672633,0.419122,3712M,0.5,15984442,3712M,1644265640,15783806,16108385,14944769,0.5
100,100,15809344,0.427784,3712M,0.5,16082088,3712M,1644265709,15925724,16185014,15268677,0.5
100,100,17048640,0.435809,3712M,0.5,17296780,3712M,1644265778,17160011,17361396,16630947,0.5
100,100,15429268,0.443752,3712M,0.5,15831888,3712M,1644265846,15585459,15937274,14924136,0.5
100,100,16181088,0.462576,3712M,0.5,16462009,3712M,1644265915,16292464,16576544,15668679,0.5
150,150,29984652,0.456916,3712M,0.5,30286959,3712M,1644265985,30119848,30400920,29303226,0.5
150,150,30110713,0.465863,3712M,0.5,30434771,3712M,1644266056,30244439,30548856,29645323,0.5
150,150,29779843,0.477447,3712M,0.5,30132801,3712M,1644266126,29943571,30266379,29267256,0.5
150,150,30068110,0.488004,3712M,0.5,30448636,3712M,1644266197,30220300,30566186,29540296,0.5
150,150,29896012,0.4981,3712M,0.5,30225830,3712M,1644266268,30028520,30326961,29353743,0.5
200,200,36092796,0.49811,3712M,0.5,36616066,3712M,1644266340,36283255,36817896,35506962,0.5
200,200,36167309,0.498164,3712M,0.5,36747696,3712M,1644266418,36409024,36890461,35192257,0.5
200,200,36260072,0.49801,3712M,0.5,36646692,3712M,1644266497,36412934,36893337,35344625,0.5
200,200,35827896,0.498133,3712M,0.5,36131091,3712M,1644266576,35946734,36349576,35414953,0.5
250,250,40809066,0.49813,3712M,0.5,41301657,3712M,1644266656,41009281,41458580,39899598,0.5
250,250,40484164,0.497987,3712M,0.5,40888744,3712M,1644266743,40686953,41045639,39694043,0.5
250,250,40826849,0.49812,3712M,0.5,41518473,3712M,1644266833,41144765,41727977,39957367,0.5
250,250,40760892,0.498076,3712M,0.5,41420971,3712M,1644266920,40999889,41577842,40105333,0.5
250,250,40739084,0.498115,3712M,0.5,41194590,3712M,1644267009,40912883,41375653,39820972,0.5
300,300,43029034,0.498172,3712M,0.5,43485659,3712M,1644267098,43227605,43714107,42263937,0.5
300,300,42815810,0.497932,3712M,0.5,43307777,3712M,1644267196,43017941,43555742,42111667,0.5
300,300,43261604,0.498231,3712M,0.5,43696419,3712M,1644267293,43454905,43901407,42507245,0.5
350,350,45740909,0.497797,3712M,0.5,46222895,3712M,1644267392,45952737,46346449,44664656,0.5
400,400,46990088,0.498044,3712M,0.5,47588455,3712M,1644267493,47282478,47823613,45803734,0.5
400,400,47197335,0.497883,3712M,0.5,47734748,3712M,1644267596,47478672,47871310,46029824,0.5
400,400,46824266,0.49777,3712M,0.5,47413157,3712M,1644267697,47082302,47578979,46091449,0.5
450,450,47815649,0.497709,3712M,0.5,48346431,3712M,1644267800,48112195,48438265,47050714,0.5
450,450,47718472,0.497368,3712M,0.5,48299589,3712M,1644267903,48006508,48444293,46808396,0.5
450,450,47696678,0.496367,3712M,0.5,48135032,3712M,1644268006,47920298,48321303,46675818,0.5
450,450,47452273,0.497536,3712M,0.5,47896826,3712M,1644268109,47703372,48027315,46398511,0.5
450,450,47650923,0.497439,3712M,0.5,48124037,3712M,1644268212,47860523,48327192,46897807,0.5
500,500,47993982,0.496669,3712M,0.5,48592369,3712M,1644268318,48185787,48733288,47052227,0.5
50,50,145325,0.223876,3584M,0.5,191693,3584M,1644268481,170905,202765,57292,0.5
50,50,131675,0.305623,3584M,0.5,193705,3584M,1644268543,160994,213522,20801,0.5
50,50,149219,0.349058,3584M,0.5,197427,3584M,1644268606,175397,221574,43621,0.5
100,100,16964233,0.441889,3584M,0.5,17387753,3584M,1644268675,17094099,17565290,16446331,0.5
100,100,16950487,0.441165,3584M,0.5,17211627,3584M,1644268743,17055757,17341265,16405830,0.5
100,100,16964926,0.436044,3584M,0.5,17247737,3584M,1644268812,17090691,17356699,16368669,0.5
100,100,17247452,0.44535,3584M,0.5,17500668,3584M,1644268880,17355072,17589084,16826146,0.5
100,100,17751250,0.459246,3584M,0.5,18036559,3584M,1644268949,17872086,18139418,17115991,0.5
150,150,30590278,0.462781,3584M,0.5,30885779,3584M,1644269019,30717658,30985253,30033829,0.5
150,150,30205757,0.467676,3584M,0.5,30522038,3584M,1644269091,30348065,30653533,29710490,0.5
150,150,30069059,0.476177,3584M,0.5,30323708,3584M,1644269162,30184928,30411984,29616393,0.5
150,150,30321758,0.488535,3584M,0.5,30669966,3584M,1644269234,30491483,30755887,29346733,0.5
150,150,30815502,0.498238,3584M,0.5,31161312,3584M,1644269304,30936940,31252580,30194525,0.5
200,200,36350023,0.498392,3584M,0.5,36765195,3584M,1644269377,36529186,36908268,35724854,0.5
200,200,36131730,0.497889,3584M,0.5,36564378,3584M,1644269456,36286701,36690086,35614902,0.5
200,200,36219861,0.497847,3584M,0.5,36753647,3584M,1644269536,36477655,36972545,35643856,0.5
200,200,36304144,0.497841,3584M,0.5,36699113,3584M,1644269615,36468671,36857324,35764452,0.5
250,250,41005416,0.498317,3584M,0.5,41607531,3584M,1644269696,41246213,41791578,40378354,0.5
250,250,41020320,0.498126,3584M,0.5,41486491,3584M,1644269783,41216722,41668187,40080750,0.5
250,250,41103561,0.498077,3584M,0.5,41812972,3584M,1644269870,41345917,42095595,40270152,0.5
250,250,41080819,0.498068,3584M,0.5,41714341,3584M,1644269957,41334935,41836572,40313837,0.5
250,250,41098573,0.498072,3584M,0.5,41527031,3584M,1644270044,41290213,41637118,40259899,0.5
300,300,43583497,0.497893,3584M,0.5,43967427,3584M,1644270133,43746186,44073381,43005702,0.5
300,300,43653332,0.498115,3584M,0.5,44156715,3584M,1644270230,43842344,44382553,42491439,0.5
350,350,46262323,0.498075,3584M,0.5,46681589,3584M,1644270330,46430429,46869615,45488931,0.5
350,350,46028369,0.497742,3584M,0.5,46524317,3584M,1644270429,46262324,46703409,45215511,0.5
400,400,47089693,0.497984,3584M,0.5,47586152,3584M,1644270530,47259969,47750872,46242089,0.5
400,400,47167881,0.497643,3584M,0.5,47799334,3584M,1644270631,47384872,47929658,46390420,0.5
400,400,47115332,0.497493,3584M,0.5,47687868,3584M,1644270733,47408174,47839630,45928391,0.5
400,400,47278303,0.497689,3584M,0.5,47945596,3584M,1644270834,47541560,48170212,46431990,0.5
400,400,47105483,0.49748,3584M,0.5,47825586,3584M,1644270936,47435778,47946295,46306772,0.5
450,450,47965911,0.497704,3584M,0.5,48676096,3584M,1644271038,48300971,48760383,47078942,0.5
450,450,47773133,0.497673,3584M,0.5,48771525,3584M,1644271141,48339888,48885551,46753734,0.5
450,450,47556984,0.496896,3584M,0.5,48333075,3584M,1644271245,47852941,48476979,46663287,0.5
450,450,47675356,0.497496,3584M,0.5,48421470,3584M,1644271348,47999668,48526934,46602430,0.5
450,450,47492370,0.497418,3584M,0.5,48418458,3584M,1644271452,47975242,48509042,46609560,0.5
500,500,48239698,0.497331,3584M,0.5,48725959,3584M,1644271557,48475681,48970475,47334838,0.5
50,50,142748,0.326551,3456M,0.5,197207,3456M,1644271800,172307,240718,36595,0.5
50,50,168823,0.408654,3456M,0.5,214721,3456M,1644271863,189071,248807,72657,0.5
50,50,150684,0.458976,3456M,0.5,197098,3456M,1644271926,173404,217199,55887,0.5
50,50,137993,0.443502,3456M,0.5,194828,3456M,1644271988,164253,215501,39075,0.5
50,50,189366,0.425309,3456M,0.5,259204,3456M,1644272051,213327,275130,105171,0.5
100,100,17705745,0.418835,3456M,0.5,18020462,3456M,1644272120,17828577,18116825,17299410,0.5
100,100,18283434,0.430321,3456M,0.5,18612176,3456M,1644272188,18413023,18736920,17792441,0.5
100,100,17200302,0.439148,3456M,0.5,17537826,3456M,1644272257,17364219,17754690,16634376,0.5
100,100,17596058,0.446822,3456M,0.5,17885726,3456M,1644272327,17728327,17982882,16951150,0.5
100,100,17442413,0.466176,3456M,0.5,17895007,3456M,1644272395,17659869,18102695,16795278,0.5
150,150,30305982,0.461438,3456M,0.5,30718612,3456M,1644272465,30474424,30862641,29483981,0.5
150,150,30569204,0.468161,3456M,0.5,30856238,3456M,1644272536,30679617,30985209,30057930,0.5
150,150,30037991,0.478855,3456M,0.5,30416978,3456M,1644272608,30223867,30528916,29434583,0.5
150,150,30679220,0.486626,3456M,0.5,30971558,3456M,1644272678,30797928,31191637,30173275,0.5
150,150,30364235,0.498212,3456M,0.5,30937359,3456M,1644272750,30530522,31098174,29784965,0.5
200,200,36504540,0.498402,3456M,0.5,36923999,3456M,1644272822,36665475,37081897,35862345,0.5
200,200,36351865,0.497964,3456M,0.5,36753141,3456M,1644272902,36530716,36892605,35558361,0.5
200,200,36305479,0.497915,3456M,0.5,36775066,3456M,1644272982,36514701,36959715,35714824,0.5
200,200,36591197,0.498021,3456M,0.5,37161951,3456M,1644273062,36811408,37363229,36100789,0.5
200,200,36711659,0.498072,3456M,0.5,37155015,3456M,1644273141,36879736,37326540,36019352,0.5
250,250,40870157,0.49826,3456M,0.5,41374557,3456M,1644273223,41124286,41466765,40171014,0.5
250,250,41080218,0.498104,3456M,0.5,41532973,3456M,1644273312,41282430,41668683,40369203,0.5
250,250,41182195,0.497998,3456M,0.5,41732305,3456M,1644273399,41408307,41976566,40338917,0.5
250,250,40851937,0.498518,3456M,0.5,41592407,3456M,1644273486,41122167,41794418,39979713,0.5
250,250,41049135,0.497889,3456M,0.5,41551922,3456M,1644273576,41296921,41682670,40375609,0.5
300,300,43612237,0.498044,3456M,0.5,43964617,3456M,1644273664,43797789,44055561,42907079,0.5
300,300,43710818,0.497968,3456M,0.5,44383951,3456M,1644273761,43886130,44605090,43023385,0.5
300,300,43779165,0.497964,3456M,0.5,44375833,3456M,1644273859,44004019,44629820,42852002,0.5
