scenario2c/rabbitmq-reduced.csv.time,scenario2c/rabbitmq-reduced.csv.ram_limit,scenario2c/rabbitmq-reduced.csv.cpu_limit,scenario2c/rabbitmq-reduced.csv.n,scenario2c/rabbitmq-features.csv.cpu_usage,scenario2c/rabbitmq-features.csv.n,scenario2c/rabbitmq-features.csv.ram_limit,scenario2c/rabbitmq-features.csv.cpu_limit,lat99
1644257298,4096M,0.5,400,0.497816,400,4096M,0.5,47890674
1644257399,4096M,0.5,400,0.497739,400,4096M,0.5,47745353
1644257502,4096M,0.5,400,0.498084,400,4096M,0.5,47820850
1644257604,4096M,0.5,450,0.497828,450,4096M,0.5,48855672
1644257708,4096M,0.5,450,0.497753,450,4096M,0.5,48457128
1644257810,4096M,0.5,450,0.497826,450,4096M,0.5,48172023
1644257913,4096M,0.5,450,0.497668,450,4096M,0.5,48926760
1644258016,4096M,0.5,450,0.497946,450,4096M,0.5,48550811
1644258122,4096M,0.5,500,0.497785,500,4096M,0.5,48760435
1644258362,3968M,0.5,50,0.317284,50,3968M,0.5,235637
1644258425,3968M,0.5,50,0.399158,50,3968M,0.5,188349
1644258487,3968M,0.5,50,0.459687,50,3968M,0.5,262729
1644258550,3968M,0.5,50,0.459433,50,3968M,0.5,184208
1644258613,3968M,0.5,50,0.424865,50,3968M,0.5,211849
1644258681,3968M,0.5,100,0.419814,100,3968M,0.5,16984651
1644258750,3968M,0.5,100,0.419783,100,3968M,0.5,16965153
1644258819,3968M,0.5,100,0.437926,100,3968M,0.5,17180536
1644258887,3968M,0.5,100,0.435972,100,3968M,0.5,16486301
1644258957,3968M,0.5,100,0.463927,100,3968M,0.5,16274027
1644259027,3968M,0.5,150,0.453837,150,3968M,0.5,30426681
1644259097,3968M,0.5,150,0.46426,150,3968M,0.5,30263898
1644259167,3968M,0.5,150,0.47683,150,3968M,0.5,30170109
1644259238,3968M,0.5,150,0.488022,150,3968M,0.5,30155832
1644259308,3968M,0.5,150,0.498041,150,3968M,0.5,30260361
1644259380,3968M,0.5,200,0.498134,200,3968M,0.5,36831449
1644259459,3968M,0.5,200,0.497974,200,3968M,0.5,36683600
1644259538,3968M,0.5,200,0.498433,200,3968M,0.5,36751525
1644259616,3968M,0.5,200,0.498242,200,3968M,0.5,36753323
1644259695,3968M,0.5,200,0.498052,200,3968M,0.5,36891679
1644259775,3968M,0.5,250,0.498274,250,3968M,0.5,41409476
1644259863,3968M,0.5,250,0.497997,250,3968M,0.5,41623180
1644259950,3968M,0.5,250,0.497745,250,3968M,0.5,41537993
1644260038,3968M,0.5,250,0.49782,250,3968M,0.5,41535562
1644260126,3968M,0.5,250,0.497846,250,3968M,0.5,41427764
1644260215,3968M,0.5,300,0.498004,300,3968M,0.5,43385924
1644260312,3968M,0.5,300,0.497824,300,3968M,0.5,43368967
1644260409,3968M,0.5,300,0.497851,300,3968M,0.5,43712187
1644260505,3968M,0.5,300,0.497903,300,3968M,0.5,43532007
1644260602,3968M,0.5,300,0.498152,300,3968M,0.5,43803696
1644260700,3968M,0.5,350,0.498303,350,3968M,0.5,46141929
1644260802,3968M,0.5,400,0.498406,400,3968M,0.5,47895301
1644260904,3968M,0.5,400,0.497989,400,3968M,0.5,47641356
1644261005,3968M,0.5,400,0.49794,400,3968M,0.5,47882948
1644261106,3968M,0.5,400,0.497561,400,3968M,0.5,47702852
1644261207,3968M,0.5,400,0.497835,400,3968M,0.5,47912807
1644261310,3968M,0.5,450,0.49795,450,3968M,0.5,48630985
1644261414,3968M,0.5,450,0.497708,450,3968M,0.5,48569088
1644261517,3968M,0.5,450,0.497468,450,3968M,0.5,48423152
1644261619,3968M,0.5,450,0.497537,450,3968M,0.5,48479382
1644261722,3968M,0.5,450,0.497372,450,3968M,0.5,48397003
1644261827,3968M,0.5,500,0.496444,500,3968M,0.5,48856415
1644261931,3968M,0.5,500,0.497464,500,3968M,0.5,48860064
1644262182,3840M,0.5,50,0.304458,50,3840M,0.5,224149
1644262244,3840M,0.5,50,0.433587,50,3840M,0.5,209671
1644262307,3840M,0.5,50,0.477339,50,3840M,0.5,193363
1644262370,3840M,0.5,50,0.459459,50,3840M,0.5,203370
1644262438,3840M,0.5,100,0.442299,100,3840M,0.5,17052470
1644262507,3840M,0.5,100,0.414109,100,3840M,0.5,16577578
1644262575,3840M,0.5,100,0.441797,100,3840M,0.5,16744770
1644262644,3840M,0.5,100,0.448193,100,3840M,0.5,15949672
1644262713,3840M,0.5,100,0.463759,100,3840M,0.5,16534993
1644262782,3840M,0.5,150,0.454702,150,3840M,0.5,29782543
1644262853,3840M,0.5,150,0.467692,150,3840M,0.5,30227894
1644262924,3840M,0.5,150,0.476052,150,3840M,0.5,29476872
1644262994,3840M,0.5,150,0.487581,150,3840M,0.5,29775609
1644263064,3840M,0.5,150,0.498627,150,3840M,0.5,30365929
1644263136,3840M,0.5,200,0.498331,200,3840M,0.5,36644306
1644263214,3840M,0.5,200,0.498506,200,3840M,0.5,36813384
1644263293,3840M,0.5,200,0.498402,200,3840M,0.5,36549356
1644263372,3840M,0.5,200,0.498183,200,3840M,0.5,36856716
1644263450,3840M,0.5,200,0.498085,200,3840M,0.5,36697689
1644263529,3840M,0.5,250,0.498012,250,3840M,0.5,41322613
1644263618,3840M,0.5,250,0.498139,250,3840M,0.5,41304889
1644263706,3840M,0.5,250,0.497864,250,3840M,0.5,41611589
1644263793,3840M,0.5,250,0.498494,250,3840M,0.5,41207402
1644263882,3840M,0.5,250,0.498035,250,3840M,0.5,41400104
1644263971,3840M,0.5,300,0.498167,300,3840M,0.5,43573322
1644264068,3840M,0.5,300,0.497751,300,3840M,0.5,43403735
1644264165,3840M,0.5,300,0.498141,300,3840M,0.5,43415561
1644264263,3840M,0.5,350,0.498299,350,3840M,0.5,46252210
1644264363,3840M,0.5,350,0.497901,350,3840M,0.5,46050460
1644264463,3840M,0.5,350,0.497893,350,3840M,0.5,46209247
1644264564,3840M,0.5,400,0.49777,400,3840M,0.5,47818391
1644264665,3840M,0.5,400,0.498007,400,3840M,0.5,47535008
1644264768,3840M,0.5,450,0.497908,450,3840M,0.5,48289505
1644264871,3840M,0.5,450,0.497849,450,3840M,0.5,48253645
1644264976,3840M,0.5,500,0.49754,500,3840M,0.5,49023061
1644265081,3840M,0.5,500,0.497713,500,3840M,0.5,48753895
1644265322,3712M,0.5,50,0.319311,50,3712M,0.5,219617
1644265384,3712M,0.5,50,0.401493,50,3712M,0.5,257652
1644265447,3712M,0.5,50,0.451285,50,3712M,0.5,213499
1644265509,3712M,0.5,50,0.461762,50,3712M,0.5,194556
1644265572,3712M,0.5,50,0.439592,50,3712M,0.5,184636
1644265640,3712M,0.5,100,0.419122,100,3712M,0.5,16108385
1644265709,3712M,0.5,100,0.427784,100,3712M,0.5,16185014
1644265778,3712M,0.5,100,0.435809,100,3712M,0.5,17361396
1644265846,3712M,0.5,100,0.443752,100,3712M,0.5,15937274
1644265915,3712M,0.5,100,0.462576,100,3712M,0.5,16576544
1644265985,3712M,0.5,150,0.456916,150,3712M,0.5,30400920
1644266056,3712M,0.5,150,0.465863,150,3712M,0.5,30548856
1644266126,3712M,0.5,150,0.477447,150,3712M,0.5,30266379
1644266197,3712M,0.5,150,0.488004,150,3712M,0.5,30566186
1644266268,3712M,0.5,150,0.4981,150,3712M,0.5,30326961
1644266340,3712M,0.5,200,0.49811,200,3712M,0.5,36817896
1644266418,3712M,0.5,200,0.498164,200,3712M,0.5,36890461
1644266497,3712M,0.5,200,0.49801,200,3712M,0.5,36893337
1644266576,3712M,0.5,200,0.498133,200,3712M,0.5,36349576
1644266656,3712M,0.5,250,0.49813,250,3712M,0.5,41458580
1644266743,3712M,0.5,250,0.497987,250,3712M,0.5,41045639
1644266833,3712M,0.5,250,0.49812,250,3712M,0.5,41727977
1644266920,3712M,0.5,250,0.498076,250,3712M,0.5,41577842
1644267009,3712M,0.5,250,0.498115,250,3712M,0.5,41375653
1644267098,3712M,0.5,300,0.498172,300,3712M,0.5,43714107
1644267196,3712M,0.5,300,0.497932,300,3712M,0.5,43555742
1644267293,3712M,0.5,300,0.498231,300,3712M,0.5,43901407
1644267392,3712M,0.5,350,0.497797,350,3712M,0.5,46346449
1644267493,3712M,0.5,400,0.498044,400,3712M,0.5,47823613
1644267596,3712M,0.5,400,0.497883,400,3712M,0.5,47871310
1644267697,3712M,0.5,400,0.49777,400,3712M,0.5,47578979
1644267800,3712M,0.5,450,0.497709,450,3712M,0.5,48438265
1644267903,3712M,0.5,450,0.497368,450,3712M,0.5,48444293
1644268006,3712M,0.5,450,0.496367,450,3712M,0.5,48321303
1644268109,3712M,0.5,450,0.497536,450,3712M,0.5,48027315
1644268212,3712M,0.5,450,0.497439,450,3712M,0.5,48327192
1644268318,3712M,0.5,500,0.496669,500,3712M,0.5,48733288
1644268481,3584M,0.5,50,0.223876,50,3584M,0.5,202765
1644268543,3584M,0.5,50,0.305623,50,3584M,0.5,213522
1644268606,3584M,0.5,50,0.349058,50,3584M,0.5,221574
1644268675,3584M,0.5,100,0.441889,100,3584M,0.5,17565290
1644268743,3584M,0.5,100,0.441165,100,3584M,0.5,17341265
1644268812,3584M,0.5,100,0.436044,100,3584M,0.5,17356699
1644268880,3584M,0.5,100,0.44535,100,3584M,0.5,17589084
1644268949,3584M,0.5,100,0.459246,100,3584M,0.5,18139418
1644269019,3584M,0.5,150,0.462781,150,3584M,0.5,30985253
1644269091,3584M,0.5,150,0.467676,150,3584M,0.5,30653533
1644269162,3584M,0.5,150,0.476177,150,3584M,0.5,30411984
1644269234,3584M,0.5,150,0.488535,150,3584M,0.5,30755887
1644269304,3584M,0.5,150,0.498238,150,3584M,0.5,31252580
1644269377,3584M,0.5,200,0.498392,200,3584M,0.5,36908268
1644269456,3584M,0.5,200,0.497889,200,3584M,0.5,36690086
1644269536,3584M,0.5,200,0.497847,200,3584M,0.5,36972545
1644269615,3584M,0.5,200,0.497841,200,3584M,0.5,36857324
1644269696,3584M,0.5,250,0.498317,250,3584M,0.5,41791578
1644269783,3584M,0.5,250,0.498126,250,3584M,0.5,41668187
1644269870,3584M,0.5,250,0.498077,250,3584M,0.5,42095595
1644269957,3584M,0.5,250,0.498068,250,3584M,0.5,41836572
1644270044,3584M,0.5,250,0.498072,250,3584M,0.5,41637118
1644270133,3584M,0.5,300,0.497893,300,3584M,0.5,44073381
1644270230,3584M,0.5,300,0.498115,300,3584M,0.5,44382553
1644270330,3584M,0.5,350,0.498075,350,3584M,0.5,46869615
1644270429,3584M,0.5,350,0.497742,350,3584M,0.5,46703409
1644270530,3584M,0.5,400,0.497984,400,3584M,0.5,47750872
1644270631,3584M,0.5,400,0.497643,400,3584M,0.5,47929658
1644270733,3584M,0.5,400,0.497493,400,3584M,0.5,47839630
1644270834,3584M,0.5,400,0.497689,400,3584M,0.5,48170212
1644270936,3584M,0.5,400,0.49748,400,3584M,0.5,47946295
1644271038,3584M,0.5,450,0.497704,450,3584M,0.5,48760383
1644271141,3584M,0.5,450,0.497673,450,3584M,0.5,48885551
1644271245,3584M,0.5,450,0.496896,450,3584M,0.5,48476979
1644271348,3584M,0.5,450,0.497496,450,3584M,0.5,48526934
1644271452,3584M,0.5,450,0.497418,450,3584M,0.5,48509042
1644271557,3584M,0.5,500,0.497331,500,3584M,0.5,48970475
1644271800,3456M,0.5,50,0.326551,50,3456M,0.5,240718
1644271863,3456M,0.5,50,0.408654,50,3456M,0.5,248807
1644271926,3456M,0.5,50,0.458976,50,3456M,0.5,217199
1644271988,3456M,0.5,50,0.443502,50,3456M,0.5,215501
1644272051,3456M,0.5,50,0.425309,50,3456M,0.5,275130
1644272120,3456M,0.5,100,0.418835,100,3456M,0.5,18116825
1644272188,3456M,0.5,100,0.430321,100,3456M,0.5,18736920
1644272257,3456M,0.5,100,0.439148,100,3456M,0.5,17754690
1644272327,3456M,0.5,100,0.446822,100,3456M,0.5,17982882
1644272395,3456M,0.5,100,0.466176,100,3456M,0.5,18102695
1644272465,3456M,0.5,150,0.461438,150,3456M,0.5,30862641
1644272536,3456M,0.5,150,0.468161,150,3456M,0.5,30985209
1644272608,3456M,0.5,150,0.478855,150,3456M,0.5,30528916
1644272678,3456M,0.5,150,0.486626,150,3456M,0.5,31191637
1644272750,3456M,0.5,150,0.498212,150,3456M,0.5,31098174
1644272822,3456M,0.5,200,0.498402,200,3456M,0.5,37081897
1644272902,3456M,0.5,200,0.497964,200,3456M,0.5,36892605
1644272982,3456M,0.5,200,0.497915,200,3456M,0.5,36959715
1644273062,3456M,0.5,200,0.498021,200,3456M,0.5,37363229
1644273141,3456M,0.5,200,0.498072,200,3456M,0.5,37326540
1644273223,3456M,0.5,250,0.49826,250,3456M,0.5,41466765
1644273312,3456M,0.5,250,0.498104,250,3456M,0.5,41668683
1644273399,3456M,0.5,250,0.497998,250,3456M,0.5,41976566
1644273486,3456M,0.5,250,0.498518,250,3456M,0.5,41794418
1644273576,3456M,0.5,250,0.497889,250,3456M,0.5,41682670
1644273664,3456M,0.5,300,0.498044,300,3456M,0.5,44055561
1644273761,3456M,0.5,300,0.497968,300,3456M,0.5,44605090
1644273859,3456M,0.5,300,0.497964,300,3456M,0.5,44629820
1644273956,3456M,0.5,300,0.49821,300,3456M,0.5,44452646
1644274053,3456M,0.5,300,0.498497,300,3456M,0.5,44756597
1644274152,3456M,0.5,350,0.497635,350,3456M,0.5,46609782
1644274253,3456M,0.5,350,0.498117,350,3456M,0.5,47013691
1644274352,3456M,0.5,350,0.498025,350,3456M,0.5,46922915
1644274453,3456M,0.5,400,0.497501,400,3456M,0.5,47693462
1644274556,3456M,0.5,400,0.497981,400,3456M,0.5,47768438
1644274657,3456M,0.5,400,0.497507,400,3456M,0.5,47988000
1644274758,3456M,0.5,400,0.497479,400,3456M,0.5,47994273
1644274861,3456M,0.5,450,0.496829,450,3456M,0.5,48932966
1644274964,3456M,0.5,450,0.497456,450,3456M,0.5,48648387
1644275067,3456M,0.5,450,0.497377,450,3456M,0.5,48505382
1644275170,3456M,0.5,450,0.497446,450,3456M,0.5,48283002
1644275274,3456M,0.5,450,0.497667,450,3456M,0.5,48622655
1644275379,3456M,0.5,500,0.497677,500,3456M,0.5,49302922
1644275485,3456M,0.5,500,0.497477,500,3456M,0.5,49539718
1644275590,3456M,0.5,500,0.497436,500,3456M,0.5,49068742
1644275833,3328M,0.5,50,0.354503,50,3328M,0.5,264073
1644275895,3328M,0.5,50,0.437184,50,3328M,0.5,265047
1644275958,3328M,0.5,50,0.471279,50,3328M,0.5,229187
1644276021,3328M,0.5,50,0.458385,50,3328M,0.5,257155
1644276089,3328M,0.5,100,0.438922,100,3328M,0.5,18237511
1644276158,3328M,0.5,100,0.42756,100,3328M,0.5,18349234
1644276227,3328M,0.5,100,0.439317,100,3328M,0.5,18012425
1644276295,3328M,0.5,100,0.448675,100,3328M,0.5,17370298
1644276364,3328M,0.5,100,0.458529,100,3328M,0.5,17375074
1644276434,3328M,0.5,150,0.459742,150,3328M,0.5,30982687
1644276505,3328M,0.5,150,0.469199,150,3328M,0.5,30903196
1644276576,3328M,0.5,150,0.479462,150,3328M,0.5,30992304
1644276647,3328M,0.5,150,0.488519,150,3328M,0.5,31089765
1644276718,3328M,0.5,150,0.497756,150,3328M,0.5,31169576
1644276791,3328M,0.5,200,0.497668,200,3328M,0.5,37167465
1644276871,3328M,0.5,200,0.497806,200,3328M,0.5,36915552
1644276951,3328M,0.5,200,0.497831,200,3328M,0.5,36928190
1644277031,3328M,0.5,200,0.498033,200,3328M,0.5,37083423
1644277110,3328M,0.5,200,0.498033,200,3328M,0.5,36967477
1644277192,3328M,0.5,250,0.498222,250,3328M,0.5,41585926
1644277281,3328M,0.5,250,0.498123,250,3328M,0.5,42046580
1644277367,3328M,0.5,250,0.498192,250,3328M,0.5,41948637
1644277456,3328M,0.5,300,0.497925,300,3328M,0.5,44163001
1644277553,3328M,0.5,300,0.498055,300,3328M,0.5,44311999
1644277651,3328M,0.5,300,0.498192,300,3328M,0.5,44048445
1644277750,3328M,0.5,350,0.497885,350,3328M,0.5,46659961
1644277852,3328M,0.5,400,0.497747,400,3328M,0.5,47703886
1644277953,3328M,0.5,400,0.497374,400,3328M,0.5,47732918
1644278055,3328M,0.5,400,0.497513,400,3328M,0.5,48016631
1644278158,3328M,0.5,450,0.497268,450,3328M,0.5,48483384
1644278260,3328M,0.5,450,0.497255,450,3328M,0.5,48723646
1644278363,3328M,0.5,450,0.497631,450,3328M,0.5,48574875
1644278466,3328M,0.5,450,0.497651,450,3328M,0.5,48473870
1644278570,3328M,0.5,450,0.497296,450,3328M,0.5,48418715
1644278674,3328M,0.5,500,0.498231,500,3328M,0.5,49180095
1644278918,3200M,0.5,50,0.313607,50,3200M,0.5,228135
1644278981,3200M,0.5,50,0.445809,50,3200M,0.5,270829
1644279044,3200M,0.5,50,0.477308,50,3200M,0.5,262779
1644279106,3200M,0.5,50,0.460035,50,3200M,0.5,266981
1644279175,3200M,0.5,100,0.434018,100,3200M,0.5,18670643
1644279243,3200M,0.5,100,0.432529,100,3200M,0.5,18731550
1644279312,3200M,0.5,100,0.443165,100,3200M,0.5,18658353
1644279381,3200M,0.5,100,0.453217,100,3200M,0.5,16671953
1644279449,3200M,0.5,100,0.456534,100,3200M,0.5,16678397
1644279519,3200M,0.5,150,0.464537,150,3200M,0.5,30265703
1644279590,3200M,0.5,150,0.468875,150,3200M,0.5,30534221
1644279661,3200M,0.5,150,0.473827,150,3200M,0.5,31174823
1644279732,3200M,0.5,150,0.488594,150,3200M,0.5,30844235
1644279803,3200M,0.5,150,0.498143,150,3200M,0.5,30779311
1644279875,3200M,0.5,200,0.498058,200,3200M,0.5,37056428
1644279955,3200M,0.5,200,0.498126,200,3200M,0.5,36609627
1644280035,3200M,0.5,200,0.498212,200,3200M,0.5,36698572
1644280114,3200M,0.5,200,0.498159,200,3200M,0.5,36956080
1644280195,3200M,0.5,250,0.498101,250,3200M,0.5,41815875
1644280283,3200M,0.5,250,0.4978,250,3200M,0.5,41664397
1644280372,3200M,0.5,250,0.49782,250,3200M,0.5,42359420
1644280460,3200M,0.5,250,0.497731,250,3200M,0.5,41769791
1644280549,3200M,0.5,300,0.497735,300,3200M,0.5,44295075
1644280647,3200M,0.5,300,0.498189,300,3200M,0.5,44430233
1644280745,3200M,0.5,300,0.497647,300,3200M,0.5,44628983
1644280842,3200M,0.5,300,0.498335,300,3200M,0.5,44734380
1644280940,3200M,0.5,300,0.497738,300,3200M,0.5,44445301
1644281039,3200M,0.5,350,0.497764,350,3200M,0.5,46988581
1644281138,3200M,0.5,350,0.497993,350,3200M,0.5,46993822
1644281238,3200M,0.5,350,0.49746,350,3200M,0.5,46724793
1644281339,3200M,0.5,400,0.498017,400,3200M,0.5,47999687
1644281441,3200M,0.5,400,0.497983,400,3200M,0.5,47880661
1644281542,3200M,0.5,400,0.497556,400,3200M,0.5,47688008
1644281644,3200M,0.5,400,0.497454,400,3200M,0.5,47994748
1644281747,3200M,0.5,450,0.496681,450,3200M,0.5,48691305
1644281852,3200M,0.5,500,0.497503,500,3200M,0.5,49040482
1644281957,3200M,0.5,500,0.497171,500,3200M,0.5,49497955
1644282062,3200M,0.5,500,0.497335,500,3200M,0.5,49267000
1644282307,3072M,0.5,50,0.316658,50,3072M,0.5,263253
1644282370,3072M,0.5,50,0.448445,50,3072M,0.5,202713
1644282432,3072M,0.5,50,0.458509,50,3072M,0.5,295041
1644282495,3072M,0.5,50,0.458509,50,3072M,0.5,262208
1644282558,3072M,0.5,50,0.436347,50,3072M,0.5,210052
1644282627,3072M,0.5,100,0.420824,100,3072M,0.5,18140883
1644282695,3072M,0.5,100,0.430349,100,3072M,0.5,18596326
1644282764,3072M,0.5,100,0.43745,100,3072M,0.5,17839721
1644282833,3072M,0.5,100,0.448118,100,3072M,0.5,18233810
1644282902,3072M,0.5,100,0.462495,100,3072M,0.5,17612372
1644282972,3072M,0.5,150,0.4593,150,3072M,0.5,31024888
1644283043,3072M,0.5,150,0.469759,150,3072M,0.5,31078120
1644283115,3072M,0.5,150,0.477883,150,3072M,0.5,31241739
1644283186,3072M,0.5,150,0.488022,150,3072M,0.5,30842236
1644283258,3072M,0.5,150,0.498148,150,3072M,0.5,30707065
1644283330,3072M,0.5,200,0.497814,200,3072M,0.5,37172389
1644283411,3072M,0.5,200,0.498183,200,3072M,0.5,37176113
1644283492,3072M,0.5,200,0.497872,200,3072M,0.5,37280591
1644283572,3072M,0.5,200,0.49778,200,3072M,0.5,37428759
1644283652,3072M,0.5,200,0.4981,200,3072M,0.5,36956515
1644283734,3072M,0.5,250,0.498189,250,3072M,0.5,41766866
1644283823,3072M,0.5,250,0.497904,250,3072M,0.5,41800218
1644283911,3072M,0.5,250,0.49793,250,3072M,0.5,41937812
1644283999,3072M,0.5,250,0.497896,250,3072M,0.5,41674911
1644284088,3072M,0.5,250,0.498023,250,3072M,0.5,41825160
1644284177,3072M,0.5,300,0.498023,300,3072M,0.5,44467549
1644284275,3072M,0.5,300,0.497816,300,3072M,0.5,44229299
1644284372,3072M,0.5,300,0.497839,300,3072M,0.5,44807860
1644284470,3072M,0.5,300,0.497535,300,3072M,0.5,44038568
1644284567,3072M,0.5,300,0.497776,300,3072M,0.5,44482592
1644284667,3072M,0.5,350,0.497776,350,3072M,0.5,46866746
1644284766,3072M,0.5,350,0.498068,350,3072M,0.5,46963339
1644284868,3072M,0.5,400,0.497826,400,3072M,0.5,47945867
1644284970,3072M,0.5,400,0.497889,400,3072M,0.5,48429625
1644285072,3072M,0.5,400,0.497977,400,3072M,0.5,47860815
1644285175,3072M,0.5,450,0.498009,450,3072M,0.5,48539548
1644285278,3072M,0.5,450,0.496777,450,3072M,0.5,48237345
1644285382,3072M,0.5,450,0.497167,450,3072M,0.5,48951285
1644285485,3072M,0.5,450,0.497326,450,3072M,0.5,48506673
1644285589,3072M,0.5,450,0.496496,450,3072M,0.5,48486128
